"Date","Expected_Fixes","On_Time_Fix","No_fix","Early_Fix","Late_Fix","Percent_No_Fix_to_Total","Per_Missing__to_Expected_Fix"
"2020-06-18",288,120,0,4,1,"0 %","56.5972222222222 %"
"2020-06-19",288,281,0,9,2,"0 %","-1.38888888888889 %"
"2020-06-20",288,282,0,8,2,"0 %","-1.38888888888889 %"
"2020-06-21",288,282,3,5,1,"1.04166666666667 %","0 %"
"2020-06-22",288,285,0,6,0,"0 %","-1.04166666666667 %"
"2020-06-23",288,286,0,6,0,"0 %","-1.38888888888889 %"
"2020-06-24",288,284,3,5,0,"1.03806228373702 %","-0.347222222222222 %"
"2020-06-25",288,285,3,2,0,"1.04529616724739 %","0.347222222222222 %"
"2020-06-26",288,231,49,6,0,"20.6751054852321 %","17.7083333333333 %"
"2020-06-27",288,287,1,4,0,"0.343642611683849 %","-1.04166666666667 %"
"2020-06-28",288,281,7,0,0,"2.49110320284698 %","2.43055555555556 %"
"2020-06-29",288,287,0,3,0,"0 %","-0.694444444444444 %"
"2020-06-30",288,287,1,1,0,"0.347222222222222 %","0 %"
"2020-07-01",288,268,19,4,0,"6.98529411764706 %","5.55555555555556 %"
"2020-07-02",288,284,0,6,0,"0 %","-0.694444444444444 %"
"2020-07-03",0,0,0,0,0,NA,NA
"2020-07-04",0,0,0,0,0,NA,NA
"2020-07-05",0,0,0,0,0,NA,NA
"2020-07-06",0,0,0,0,0,NA,NA
"2020-07-07",0,0,0,0,0,NA,NA
"2020-07-08",0,0,0,0,0,NA,NA
"2020-07-09",0,0,0,0,0,NA,NA
"2020-07-10",0,0,0,0,0,NA,NA
"2020-07-11",0,0,0,0,0,NA,NA
"2020-07-12",0,0,0,0,0,NA,NA
"2020-07-13",0,0,0,0,0,NA,NA
"2020-07-14",0,0,0,0,0,NA,NA
"2020-07-15",0,0,0,0,0,NA,NA
"2020-07-16",0,0,0,0,0,NA,NA
"2020-07-17",0,0,0,0,0,NA,NA
"2020-07-18",0,0,0,0,0,NA,NA
"2020-07-19",0,0,0,0,0,NA,NA
"2020-07-20",0,0,0,0,0,NA,NA
"2020-07-21",0,0,0,0,0,NA,NA
"2020-07-22",0,0,0,0,0,NA,NA
"2020-07-23",0,0,0,0,0,NA,NA
"2020-07-24",0,0,0,0,0,NA,NA
"2020-07-25",0,0,0,0,0,NA,NA
"2020-07-26",0,0,0,0,0,NA,NA
"2020-07-27",0,0,0,0,0,NA,NA
"2020-07-28",0,0,0,0,0,NA,NA
"2020-07-29",0,0,0,0,0,NA,NA
"2020-07-30",0,0,0,0,0,NA,NA
"2020-07-31",0,0,0,0,0,NA,NA
"2020-08-01",0,0,0,0,0,NA,NA
"2020-08-02",0,0,0,0,0,NA,NA
"2020-08-03",0,0,0,0,0,NA,NA
"2020-08-04",0,0,0,0,0,NA,NA
"2020-08-05",0,0,0,0,0,NA,NA
"2020-08-06",0,0,0,0,0,NA,NA
"2020-08-07",0,0,0,0,0,NA,NA
"2020-08-08",0,0,0,0,0,NA,NA
"2020-08-09",0,0,0,0,0,NA,NA
"2020-08-10",0,0,0,0,0,NA,NA
"2020-08-11",0,0,0,0,0,NA,NA
"2020-08-12",0,0,0,0,0,NA,NA
"2020-08-13",0,0,0,0,0,NA,NA
"2020-08-14",0,0,0,0,0,NA,NA
"2020-08-15",0,0,0,0,0,NA,NA
"2020-08-16",0,0,0,0,0,NA,NA
"2020-08-17",0,0,0,0,0,NA,NA
"2020-08-18",0,0,0,0,0,NA,NA
"2020-08-19",0,0,0,0,0,NA,NA
"2020-08-20",0,0,0,0,0,NA,NA
"2020-08-21",0,0,0,0,0,NA,NA
"2020-08-22",0,0,0,0,0,NA,NA
"2020-08-23",0,0,0,0,0,NA,NA
"2020-08-24",0,0,0,0,0,NA,NA
"2020-08-25",0,0,0,0,0,NA,NA
"2020-08-26",0,0,0,0,0,NA,NA
"2020-08-27",0,0,0,0,0,NA,NA
"2020-08-28",0,0,0,0,0,NA,NA
"2020-08-29",0,0,0,0,0,NA,NA
"2020-08-30",0,0,0,0,0,NA,NA
"2020-08-31",0,0,0,0,0,NA,NA
"2020-09-01",0,0,0,0,0,NA,NA
"2020-09-02",0,0,0,0,0,NA,NA
"2020-09-03",0,0,0,0,0,NA,NA
"2020-09-04",0,0,0,0,0,NA,NA
"2020-09-05",0,0,0,0,0,NA,NA
"2020-09-06",0,0,0,0,0,NA,NA
"2020-09-07",0,0,0,0,0,NA,NA
"2020-09-08",0,0,0,0,0,NA,NA
"2020-09-09",0,0,0,0,0,NA,NA
"2020-09-10",0,0,0,0,0,NA,NA
"2020-09-11",0,0,0,0,0,NA,NA
"2020-09-12",0,0,0,0,0,NA,NA
"2020-09-13",0,0,0,0,0,NA,NA
"2020-09-14",0,0,0,0,0,NA,NA
"2020-09-15",0,0,0,0,0,NA,NA
"2020-09-16",0,0,0,0,0,NA,NA
