"Date","Expected_Fixes","On_Time_Fix","No_fix","Early_Fix","Late_Fix","Avg_Speed_Day","Avg_Speed_Night","Out_of_Bounds","Percent_No_Fix_to_Total","Per_Missing__to_Expected_Fix"
"2020-07-13",152,107,29,2,0,NA,0.0676750168160161,15,"26.605504587156 %","28.2894736842105 %"
"2020-07-14",288,256,9,5,3,0.402920700369948,0.304813895484616,7,"3.40909090909091 %","8.33333333333333 %"
"2020-07-15",288,281,1,4,1,0.103484880330264,0.227503778701352,1,"0.34965034965035 %","0.694444444444444 %"
"2020-07-16",288,283,0,2,1,0.0640531644551418,0.0511996188512418,2,"0 %","0.694444444444444 %"
"2020-07-17",288,288,0,0,0,0.0870248709751255,0.0948126099478001,0,"0 %","0 %"
"2020-07-18",288,265,12,1,0,0.0451182615830117,0.713188895886525,7,"4.51127819548872 %","7.63888888888889 %"
"2020-07-19",288,252,9,4,0,0.113918579048635,0.185469093796576,8,"3.515625 %","11.1111111111111 %"
"2020-07-20",288,266,12,1,0,0.137162153761796,0.119447726215323,8,"4.49438202247191 %","7.29166666666667 %"
"2020-07-21",288,255,19,2,0,0.278983857447492,0.251168421579729,9,"7.39299610894942 %","10.7638888888889 %"
"2020-07-22",288,264,15,0,0,0.248177998922953,0.218472769736831,9,"5.68181818181818 %","8.33333333333333 %"
"2020-07-23",288,278,3,1,1,0.141979806667647,0.159020428652538,3,"1.07142857142857 %","2.77777777777778 %"
"2020-07-24",288,267,8,3,4,0.191830665980565,0.416060006843474,6,"2.91970802919708 %","4.86111111111111 %"
"2020-07-25",288,259,14,3,3,0.255881291537656,0.0730245614339285,7,"5.28301886792453 %","7.98611111111111 %"
"2020-07-26",288,238,33,0,0,0.340244921232705,0.206307735808505,17,"13.8655462184874 %","17.3611111111111 %"
"2020-07-27",288,278,2,4,2,0.204460987633838,0.23809425342848,2,"0.704225352112676 %","1.38888888888889 %"
"2020-07-28",288,260,12,8,1,0.131472564994938,0.347081125412762,6,"4.46096654275093 %","6.59722222222222 %"
