"Date","Expected_Fixes","On_Time_Fix","No_fix","Early_Fix","Late_Fix","Avg_Speed_Day","Avg_Speed_Night","Out_of_Bounds","Percent_No_Fix_to_Total","Per_Missing__to_Expected_Fix"
"2020-07-13",146,143,0,2,0,NA,0.0672569811757342,0,"0 %","0.684931506849315 %"
"2020-07-14",288,279,3,2,2,0.168986459769867,0.110251311537061,3,"1.06007067137809 %","1.73611111111111 %"
"2020-07-15",288,196,85,0,0,0.109904826683081,0.273317027459273,4,"43.3673469387755 %","31.9444444444444 %"
"2020-07-16",288,198,83,0,0,0.112186813328336,0.115221059272807,6,"41.9191919191919 %","31.25 %"
"2020-07-17",288,199,82,1,0,0.215137899447391,0.124396166738036,6,"41 %","30.5555555555556 %"
"2020-07-18",288,174,101,2,0,0.108446907758695,0.0833087330952402,10,"57.3863636363636 %","38.8888888888889 %"
"2020-07-19",288,280,3,0,0,0.182658530446922,0.099551914921299,3,"1.07142857142857 %","2.77777777777778 %"
"2020-07-20",288,276,9,0,0,0.137353881522604,0.146803182741026,3,"3.26086956521739 %","4.16666666666667 %"
"2020-07-21",288,273,8,0,1,0.13688032087938,0.0917553793410464,4,"2.91970802919708 %","4.86111111111111 %"
"2020-07-22",288,276,8,0,0,0.101274221598032,0.146420158823322,4,"2.89855072463768 %","4.16666666666667 %"
"2020-07-23",288,169,114,0,0,0.158604243735148,NA,3,"67.4556213017752 %","41.3194444444444 %"
"2020-07-24",288,185,96,1,0,0.154219337015214,0.0776638862738474,6,"51.6129032258064 %","35.4166666666667 %"
"2020-07-25",288,285,1,1,1,0.161613832715599,0.0761691683214942,1,"0.348432055749129 %","0.347222222222222 %"
"2020-07-26",288,256,24,0,0,0.12726592447598,0.134944343458417,7,"9.375 %","11.1111111111111 %"
"2020-07-27",288,284,3,0,0,0.0792906797737758,0.0630049310478734,2,"1.05633802816901 %","1.38888888888889 %"
"2020-07-28",288,215,67,1,1,0.109823285104562,0.124542069930482,3,"30.8755760368664 %","24.6527777777778 %"
"2020-07-29",288,199,82,0,1,0.11560043623954,0.109854429210267,4,"41 %","30.5555555555556 %"
"2020-07-30",288,284,2,2,0,0.137787355983011,0.10173078107884,1,"0.699300699300699 %","0.694444444444444 %"
"2020-07-31",288,217,61,3,2,0.200688660415495,0.0941014267360388,3,"27.4774774774775 %","22.9166666666667 %"
"2020-08-01",288,280,2,2,2,0.0939043940687328,0.0820211758291732,2,"0.704225352112676 %","1.38888888888889 %"
"2020-08-02",288,279,5,2,0,0.197169425657636,0.0766704596823004,2,"1.77935943060498 %","2.43055555555556 %"
"2020-08-03",288,230,53,0,0,0.138804781747057,0.270470057793455,4,"23.0434782608696 %","20.1388888888889 %"
"2020-08-04",288,287,0,1,0,0.0987132791265588,0.0911987607256115,0,"0 %","0 %"
"2020-08-05",288,217,68,0,0,0.0905694881944149,NA,1,"31.3364055299539 %","24.6527777777778 %"
"2020-08-06",288,168,119,0,0,0.119305742884762,0.0860561905249957,1,"70.8333333333333 %","41.6666666666667 %"
"2020-08-07",288,289,0,0,0,0.0664677267351406,0.0480489036852497,0,"0 %","-0.347222222222222 %"
"2020-08-08",288,237,50,0,0,0.0931127811404526,NA,0,"21.0970464135021 %","17.7083333333333 %"
"2020-08-09",288,201,83,1,0,0.105111751700751,0.0955122126504837,3,"41.0891089108911 %","29.8611111111111 %"
"2020-08-10",288,286,1,0,0,0.0952771879752401,0.0420818949355577,1,"0.34965034965035 %","0.694444444444444 %"
"2020-08-11",288,283,4,0,0,0.173242306885207,0.0742549595611787,2,"1.41342756183746 %","1.73611111111111 %"
"2020-08-12",288,287,0,0,0,0.108382912787767,0.0799873106015505,0,"0 %","0.347222222222222 %"
"2020-08-13",288,176,112,0,0,0.0934792581110954,NA,0,"63.6363636363636 %","38.8888888888889 %"
"2020-08-14",288,100,185,0,0,0.116136399849395,0.0654530984071937,3,"185 %","65.2777777777778 %"
"2020-08-15",288,234,51,0,0,0.101408195789989,0.243354188212584,3,"21.7948717948718 %","18.75 %"
"2020-08-16",288,289,0,0,0,0.102521439024578,0.0688618827070019,0,"0 %","-0.347222222222222 %"
"2020-08-17",288,271,15,0,0,0.0849387045656351,0.0985945192122294,1,"5.53505535055351 %","5.90277777777778 %"
"2020-08-18",288,254,30,3,0,0.166267796757979,0.0763909508890767,1,"11.6731517509728 %","10.7638888888889 %"
"2020-08-19",288,271,14,1,1,0.185588561925612,0.113544031085602,1,"5.12820512820513 %","5.20833333333333 %"
"2020-08-20",288,288,0,0,0,0.124438935333917,0.179968350954868,0,"0 %","0 %"
"2020-08-21",288,258,30,0,0,0.0991991062349603,0.0850506103707916,0,"11.6279069767442 %","10.4166666666667 %"
"2020-08-22",288,182,100,1,2,0.209149011371779,0.0614664862829383,2,"54.0540540540541 %","35.7638888888889 %"
"2020-08-23",288,245,34,0,0,0.168353758432894,0.173747299311419,9,"13.8775510204082 %","14.9305555555556 %"
"2020-08-24",288,270,14,1,2,0.112092982667577,0.0721639015170674,1,"5.12820512820513 %","5.20833333333333 %"
"2020-08-25",288,223,63,0,1,0.150850366468992,0.0449803347973467,1,"28.125 %","22.2222222222222 %"
"2020-08-26",288,286,1,0,0,0.192693412831569,0.0449443282446713,1,"0.34965034965035 %","0.694444444444444 %"
