"Date","Expected_Fixes","On_Time_Fix","No_fix","Early_Fix","Late_Fix","Avg_Speed_Day","Avg_Speed_Night","Out_of_Bounds","Percent_No_Fix_to_Total","Per_Missing__to_Expected_Fix"
"2020-06-18",129,129,0,0,0,NA,0.0637310550198402,1,"0 %","0 %"
"2020-06-19",288,288,0,0,0,0.0520132256767071,0.0598891434007169,0,"0 %","0 %"
"2020-06-20",288,288,0,0,0,0.106027323154154,0.0619398528489798,0,"0 %","0 %"
"2020-06-21",288,288,0,1,0,0.0537246258652066,0.0446058664955472,0,"0 %","-0.347222222222222 %"
"2020-06-22",288,281,2,0,1,0.067024939386289,0.0677381129216738,1,"0.709219858156028 %","2.08333333333333 %"
"2020-06-23",288,284,0,2,3,0.0522026613157226,0.073949671237561,0,"0 %","-0.347222222222222 %"
"2020-06-24",288,280,2,1,1,0.0698978060264069,0.0394381747252015,3,"0.709219858156028 %","2.08333333333333 %"
"2020-06-25",288,286,1,0,0,0.0495450683025897,0.0457977179755067,1,"0.34965034965035 %","0.694444444444444 %"
"2020-06-26",288,283,1,1,0,0.306973061230205,0.159585213377851,4,"0.352112676056338 %","1.38888888888889 %"
"2020-06-27",288,287,0,0,0,0.126413576378321,0.0542298274335572,0,"0 %","0.347222222222222 %"
"2020-06-28",288,288,0,0,0,0.0520772662938062,0.0611370164768606,0,"0 %","0 %"
"2020-06-29",288,288,0,0,0,0.0496295242044638,0.0701371803983998,0,"0 %","0 %"
"2020-06-30",288,286,0,0,0,0.096283867697236,0.0385751027156751,2,"0 %","0.694444444444444 %"
"2020-07-01",288,281,5,0,0,0.0679894991697446,0.122357801656604,2,"1.77935943060498 %","2.43055555555556 %"
"2020-07-02",288,286,0,0,0,0.15981763538472,0.0715729982535841,0,"0 %","0.694444444444444 %"
"2020-07-03",288,274,10,0,0,0.107148815115359,0.0684912790844737,2,"3.64963503649635 %","4.86111111111111 %"
"2020-07-04",288,288,0,0,0,0.0777131927735361,0.0567897008915723,0,"0 %","0 %"
"2020-07-05",288,287,0,1,0,0.0708082073976081,0.0971050438433262,0,"0 %","0 %"
"2020-07-06",288,285,0,1,0,0.148452414964037,0.117419993441656,0,"0 %","0.694444444444444 %"
"2020-07-07",288,288,0,0,0,0.0692818960453698,0.0542091087288663,0,"0 %","0 %"
"2020-07-08",288,285,0,1,0,0.0631021169557439,0.0668884586637419,0,"0 %","0.694444444444444 %"
"2020-07-09",288,288,0,0,0,0.0927993139396534,0.051485260420934,0,"0 %","0 %"
"2020-07-10",288,288,0,0,0,0.0785547177452358,0.0528029728469886,0,"0 %","0 %"
"2020-07-11",288,288,0,0,0,0.0643077113185418,0.0548467634127884,0,"0 %","0 %"
"2020-07-12",288,286,0,2,0,0.0604430679629308,0.0667068700168036,0,"0 %","0 %"
"2020-07-13",153,144,9,0,0,0.0797445358019656,NA,0,"6.25 %","5.88235294117647 %"
