GMT,X,Y,Z,Temperature
2023-11-25 11:24,-2,4,-21,11.5
2023-11-25 11:24,-2,4,-23,11.5
2023-11-25 11:24,0,2,-23,11.5
2023-11-25 11:24,-2,3,-23,11.5
2023-11-25 11:24,-1,4,-21,11.5
2023-11-25 11:24,-4,6,-22,11.5
2023-11-25 11:24,-5,3,-23,11.5
2023-11-25 11:24,-6,4,-22,11.5
2023-11-25 11:24,-6,4,-21,11.5
2023-11-25 11:24,-7,4,-24,11.5
2023-11-25 11:24,-5,2,-22,11.5
2023-11-25 11:25,-6,3,-21,11.5
2023-11-25 11:25,-6,3,-22,11.5
2023-11-25 11:25,-5,2,-27,11.5
2023-11-25 11:25,-4,1,-23,11.5
2023-11-25 11:25,-5,4,-22,11.5
2023-11-25 11:25,-5,3,-22,11.5
2023-11-25 11:25,-6,3,-21,11.5
2023-11-25 11:25,-6,2,-21,11.5
2023-11-25 11:25,-5,3,-23,11.5
2023-11-25 11:25,-6,5,-20,11.5
2023-11-25 11:25,-3,3,-22,11.5
2023-11-25 11:25,-6,3,-22,11.5
2023-11-25 11:25,-4,3,-22,11.5
2023-11-25 11:25,-6,4,-22,11.5
2023-11-25 11:25,-4,4,-20,11.5
2023-11-25 11:25,-7,6,-23,11.5
2023-11-25 11:25,-2,2,-22,11.5
2023-11-25 11:25,-4,2,-22,11.5
2023-11-25 11:25,-4,3,-22,11.5
2023-11-25 11:25,-3,1,-23,11.5
2023-11-25 11:25,-3,3,-22,11.5
2023-11-25 11:25,-5,4,-22,11.5
2023-11-25 11:25,-3,3,-22,11.5
2023-11-25 11:25,-5,3,-22,11.5
2023-11-25 11:25,-5,5,-24,11.5
2023-11-25 11:25,-5,4,-22,11.5
2023-11-25 11:25,-4,4,-23,11.5
2023-11-25 11:25,-5,4,-22,11.5
2023-11-25 11:25,-6,3,-22,11.5
2023-11-25 11:25,-2,2,-23,11.5
2023-11-25 11:26,-4,5,-23,11.5
2023-11-25 11:26,-3,2,-23,11.5
2023-11-25 11:26,-5,6,-22,11.5
2023-11-25 11:26,-5,3,-23,11.5
2023-11-25 11:26,-4,4,-22,11.5
2023-11-25 11:26,-5,6,-22,11.5
2023-11-25 11:26,-6,4,-22,11.5
2023-11-25 11:26,-4,3,-22,11.5
2023-11-25 11:26,-4,5,-21,11.5
2023-11-25 11:26,-3,3,-22,11.5
2023-11-25 11:26,-5,4,-23,11.5
2023-11-25 11:26,-5,2,-23,11.5
2023-11-25 11:26,-3,4,-23,11.5
2023-11-25 11:26,-5,2,-23,11.5
2023-11-25 11:26,-2,3,-22,11.5
2023-11-25 11:26,-4,3,-23,11.5
2023-11-25 11:26,-3,4,-23,11.5
2023-11-25 11:26,-4,4,-24,11.5
2023-11-25 11:26,-2,2,-23,11.5
2023-11-25 11:26,-4,5,-22,11.5
2023-11-25 11:26,-6,7,-23,11.5
2023-11-25 11:26,-6,3,-22,11.5
2023-11-25 11:26,-4,5,-21,11.5
2023-11-25 11:26,-4,5,-22,11.5
2023-11-25 11:26,-3,4,-22,11.5
2023-11-25 11:26,-7,5,-22,11.5
2023-11-25 11:26,-4,4,-22,11.5
2023-11-25 11:26,-5,4,-22,11.5
2023-11-25 11:26,-5,5,-22,11.5
2023-11-25 11:26,-4,5,-22,11.5
2023-11-25 11:27,-3,4,-22,11.5
2023-11-25 11:27,-2,5,-21,11.5
2023-11-25 11:27,-6,6,-21,11.5
2023-11-25 11:27,-4,5,-22,12
2023-11-25 11:27,-5,5,-21,12
2023-11-25 11:27,-6,4,-22,12
2023-11-25 11:27,-6,6,-22,12
2023-11-25 11:27,-5,5,-22,12
2023-11-25 11:27,-3,3,-23,12
2023-11-25 11:27,-2,3,-23,12
2023-11-25 11:27,-3,3,-24,12
2023-11-25 11:27,-4,5,-22,12
2023-11-25 11:27,-6,7,-23,12
2023-11-25 11:27,-5,4,-21,12
2023-11-25 11:27,-6,6,-22,12
2023-11-25 11:27,-6,4,-23,12
2023-11-25 11:27,-5,4,-23,12
2023-11-25 11:27,-5,4,-21,12
2023-11-25 11:27,-4,3,-24,12
2023-11-25 11:27,-2,4,-20,12
2023-11-25 11:27,-3,2,-22,12
2023-11-25 11:27,-5,4,-23,12
2023-11-25 11:27,-5,5,-23,12
2023-11-25 11:27,-1,4,-21,12
2023-11-25 11:27,-1,3,-22,12
2023-11-25 11:27,-4,2,-21,11.5
2023-11-25 11:27,-2,1,-23,11.5
2023-11-25 11:27,1,2,-23,11.5
2023-11-25 11:27,-4,4,-23,11.5
2023-11-25 11:27,-2,5,-23,11.5
2023-11-25 11:28,-4,1,-24,11.5
2023-11-25 11:28,-4,3,-22,11.5
2023-11-25 11:28,-5,6,-22,11.5
2023-11-25 11:28,-6,4,-23,12
2023-11-25 11:28,-8,-1,-21,12
2023-11-25 11:28,-6,2,-22,12
2023-11-25 11:28,-7,3,-22,12
2023-11-25 11:28,-7,4,-23,12
2023-11-25 11:28,-2,2,-21,12
2023-11-25 11:28,-6,3,-22,12
2023-11-25 11:28,-5,3,-22,11.5
2023-11-25 11:28,-7,3,-22,11.5
2023-11-25 11:28,-6,7,-22,11.5
2023-11-25 11:28,-6,3,-22,11.5
2023-11-25 11:28,-4,3,-22,11.5
2023-11-25 11:28,-5,4,-22,11.5
2023-11-25 11:28,-6,6,-21,11.5
2023-11-25 11:28,-5,5,-21,11.5
2023-11-25 11:28,-4,1,-23,11.5
2023-11-25 11:28,-5,4,-22,11.5
2023-11-25 11:28,-7,5,-21,11.5
2023-11-25 11:28,-7,3,-22,11.5
2023-11-25 11:28,-4,2,-22,11.5
2023-11-25 11:28,-7,5,-21,11.5
2023-11-25 11:28,-6,3,-21,11.5
2023-11-25 11:28,-3,3,-23,11.5
2023-11-25 11:28,-4,5,-22,11.5
2023-11-25 11:28,-4,2,-23,11.5
2023-11-25 11:28,-3,2,-22,11.5
2023-11-25 11:28,-2,2,-23,11.5
2023-11-25 11:29,-3,1,-22,11.5
2023-11-25 11:29,-2,3,-20,11.5
2023-11-25 11:29,-4,2,-23,11.5
2023-11-25 11:29,-3,3,-13,11.5
