GMT,MST,Date,Time,Latitude,Longitude,Altitude,Duration,Temperature,DOP,Satellites,Fix
2020-07-13 23:16,2020-07-13 17:16,2020-07-13,17:16:11,51.4090967,-114.3282423,206.87,70,16.5,3,4,GPS Schedule
2020-07-13 23:20,2020-07-13 17:20,2020-07-13,17:20:05,51.4133751,-114.3272367,1036,70,17,3.8,4,Proximity GPS Schedule
2020-07-13 23:25,2020-07-13 17:25,2020-07-13,17:25:33,51.4140598,-114.3271535,1132.57,33,17,1.6,7,GPS Schedule
2020-07-13 23:30,2020-07-13 17:30,2020-07-13,17:30:13,51.4140279,-114.3271391,1123.88,13,17,1.6,7,GPS Schedule
2020-07-13 23:35,2020-07-13 17:35,2020-07-13,17:35:01,51.4140388,-114.3271915,1128.04,1,17.5,1.6,7,GPS Schedule
2020-07-13 23:40,2020-07-13 17:40,2020-07-13,17:40:01,51.4140424,-114.3272258,1116.2,1,17.5,1.8,6,GPS Schedule
2020-07-13 23:45,2020-07-13 17:45,2020-07-13,17:45:01,51.4134635,-114.3273786,1067.81,1,18.5,5.6,5,GPS Schedule
2020-07-13 23:50,2020-07-13 17:50,2020-07-13,17:50:02,51.4135416,-114.32725,1133.8,2,19,2,7,GPS Schedule
2020-07-13 23:55,2020-07-13 17:55,2020-07-13,17:55:02,51.4136878,-114.3274604,1148.96,2,19.5,2.6,5,GPS Schedule
2020-07-14 0:00,2020-07-13 18:00,2020-07-13,18:00:02,51.413879,-114.3273216,1128.15,2,19.5,2,7,GPS Schedule
2020-07-14 0:05,2020-07-13 18:05,2020-07-13,18:05:02,51.4136624,-114.3274457,1121.8,2,20,2,7,GPS Schedule
2020-07-14 0:10,2020-07-13 18:10,2020-07-13,18:10:00,51.4138201,-114.3274391,1106.51,0,20,2,6,GPS Schedule
2020-07-14 0:15,2020-07-13 18:15,2020-07-13,18:15:00,51.4137466,-114.3272197,1130.94,0,21,5.2,5,GPS Schedule
2020-07-14 0:20,2020-07-13 18:20,2020-07-13,18:20:00,51.4136826,-114.3275476,1103.37,0,21,2,6,GPS Schedule
2020-07-14 0:25,2020-07-13 18:25,2020-07-13,18:25:00,51.4140581,-114.3275891,1145.51,0,21,1.8,6,GPS Schedule
2020-07-14 0:30,2020-07-13 18:30,2020-07-13,18:30:00,51.4143551,-114.3276719,1166.47,0,21,1.8,6,GPS Schedule
2020-07-14 0:35,2020-07-13 18:35,2020-07-13,18:35:00,51.4141992,-114.3272332,1085.65,0,21,5.2,5,GPS Schedule
2020-07-14 0:40,2020-07-13 18:40,2020-07-13,18:40:00,51.4138189,-114.3274163,1096.39,0,21.5,1.6,6,GPS Schedule
2020-07-14 0:45,2020-07-13 18:45,2020-07-13,18:45:00,51.4142941,-114.3270505,1128.39,0,22,4.6,5,GPS Schedule
2020-07-14 0:50,2020-07-13 18:50,2020-07-13,18:50:00,51.4140102,-114.3268415,1171.51,0,22,2.6,5,GPS Schedule
2020-07-14 0:55,2020-07-13 18:55,2020-07-13,18:55:01,51.4143457,-114.3272579,1158.35,1,22,4.6,4,GPS Schedule
2020-07-14 1:00,2020-07-13 19:00,2020-07-13,19:00:35,51.4139967,-114.3271632,1133.05,34,22,2.8,6,GPS Schedule
2020-07-14 1:05,2020-07-13 19:05,2020-07-13,19:05:00,51.4145812,-114.3275182,1053.01,0,21,4.4,5,GPS Schedule
2020-07-14 1:10,2020-07-13 19:10,2020-07-13,19:10:00,51.4141739,-114.3270652,1135.23,0,20,4.4,5,GPS Schedule
2020-07-14 1:15,2020-07-13 19:15,2020-07-13,19:15:00,51.4138103,-114.3269504,1179.03,0,20.5,3,6,GPS Schedule
2020-07-14 1:20,2020-07-13 19:20,2020-07-13,19:20:00,51.4138721,-114.3270701,1162.02,0,19.5,4.2,5,GPS Schedule
2020-07-14 1:25,2020-07-13 19:25,2020-07-13,19:25:00,51.4136547,-114.3269947,1173.65,0,19.5,3,6,GPS Schedule
2020-07-14 1:30,2020-07-13 19:30,2020-07-13,19:30:00,51.4142789,-114.3274683,1143.81,0,19.5,3.2,6,GPS Schedule
2020-07-14 1:35,2020-07-13 19:35,2020-07-13,19:35:00,51.4139853,-114.3273001,1136.62,0,20,3.6,5,GPS Schedule
2020-07-14 1:40,2020-07-13 19:40,2020-07-13,19:40:00,51.4138964,-114.3271187,1157.3,0,20,3.2,6,GPS Schedule
2020-07-14 1:45,2020-07-13 19:45,2020-07-13,19:45:00,51.4140955,-114.3272514,1160.09,0,19.5,3.4,5,GPS Schedule
