GMT,Latitude,Longitude,Altitude,Duration,Temperature,DOP,Satellites,Fix
2020-06-18 20:29,0,0,0,70,13.5,0,0,Proximity GPS Schedule
2020-06-18 20:31,0,0,0,70,14.5,0,0,GPS Schedule
2020-06-18 20:36,0,0,0,70,15,0,0,GPS Schedule
2020-06-18 20:41,0,0,0,70,15.5,0,0,GPS Schedule
2020-06-18 20:46,0,0,0,70,16,0,0,GPS Schedule
2020-06-18 20:51,0,0,0,70,16,0,0,GPS Schedule
2020-06-18 20:56,0,0,0,70,16.5,0,0,GPS Schedule
2020-06-18 21:01,0,0,0,70,16.5,0,0,GPS Schedule
2020-06-18 21:06,0,0,0,70,16.5,0,0,GPS Schedule
2020-06-18 21:11,0,0,0,70,17,0,0,GPS Schedule
2020-06-18 21:16,0,0,0,70,17,0,0,GPS Schedule
2020-06-18 21:21,0,0,0,70,17,0,0,GPS Schedule
2020-06-18 21:26,0,0,0,70,17,0,0,GPS Schedule
2020-06-18 21:31,0,0,0,70,17.5,0,0,GPS Schedule
2020-06-18 21:36,0,0,0,70,18.5,0,0,GPS Schedule
2020-06-18 21:41,0,0,0,70,19,0,0,GPS Schedule
2020-06-18 21:46,0,0,0,70,19,0,0,GPS Schedule
2020-06-18 21:51,0,0,0,70,19,0,0,GPS Schedule
2020-06-18 21:56,0,0,0,70,19,0,0,GPS Schedule
2020-06-18 22:01,0,0,0,70,18.5,0,0,GPS Schedule
2020-06-18 22:06,0,0,0,70,18.5,0,0,GPS Schedule
2020-06-18 22:11,0,0,0,70,18.5,0,0,GPS Schedule
2020-06-18 22:16,0,0,0,70,18.5,0,0,GPS Schedule
2020-06-18 22:21,0,0,0,70,18.5,0,0,GPS Schedule
2020-06-18 22:26,0,0,0,70,18.5,0,0,GPS Schedule
2020-06-18 22:31,0,0,0,70,18.5,0,0,GPS Schedule
2020-06-18 22:36,0,0,0,70,18.5,0,0,GPS Schedule
2020-06-18 22:41,0,0,0,70,18,0,0,GPS Schedule
2020-06-18 22:46,0,0,0,70,18.5,0,0,GPS Schedule
2020-06-18 22:51,0,0,0,70,18.5,0,0,GPS Schedule
2020-06-18 22:56,0,0,0,70,19,0,0,GPS Schedule
2020-06-18 23:01,0,0,0,70,20.5,0,0,GPS Schedule
2020-06-18 23:06,0,0,0,70,20,0,0,GPS Schedule
2020-06-18 23:11,0,0,0,70,20,0,0,GPS Schedule
2020-06-18 23:16,0,0,0,70,20.5,0,0,GPS Schedule
2020-06-18 23:21,0,0,0,70,21.5,0,0,GPS Schedule
2020-06-18 23:26,0,0,0,70,22,0,0,GPS Schedule
2020-06-18 23:31,0,0,0,70,22.5,0,0,GPS Schedule
2020-06-18 23:36,0,0,0,70,23,0,0,GPS Schedule
2020-06-18 23:41,0,0,0,70,23.5,0,0,GPS Schedule
2020-06-18 23:46,0,0,0,70,23,0,0,GPS Schedule
2020-06-18 23:51,0,0,0,70,22.5,0,0,GPS Schedule
2020-06-18 23:56,0,0,0,70,20.5,0,0,GPS Schedule
2020-06-19 0:01,0,0,0,70,19.5,0,0,GPS Schedule
2020-06-19 0:06,0,0,0,70,19.5,0,0,GPS Schedule
2020-06-19 0:11,0,0,0,70,19,0,0,GPS Schedule
2020-06-19 0:16,0,0,0,70,19,0,0,GPS Schedule
2020-06-19 0:21,0,0,0,70,19.5,0,0,GPS Schedule
2020-06-19 0:26,0,0,0,70,19.5,0,0,GPS Schedule
2020-06-19 0:31,0,0,0,70,19,0,0,GPS Schedule
