Start,Stop,Proximity,Session,RSSI
2020-07-13 15:31,2020-07-13 15:31,30391,0,-85
2020-07-13 15:48,2020-07-13 15:48,30388,6,52
2020-07-13 15:51,2020-07-13 15:52,30388,10,45
2020-07-13 15:55,2020-07-13 15:55,30389,0,-83
2020-07-13 15:56,2020-07-13 15:56,30388,6,5
2020-07-13 15:59,2020-07-13 16:00,30388,87,-48
2020-07-13 16:00,2020-07-13 16:00,30389,0,-75
2020-07-13 16:01,2020-07-13 16:01,30389,0,-77
2020-07-13 16:08,2020-07-13 16:08,30389,0,-84
2020-07-13 16:16,2020-07-13 16:16,30389,3,50
2020-07-13 16:17,2020-07-13 16:17,30389,0,-82
2020-07-13 16:24,2020-07-13 16:24,30388,0,-82
2020-07-13 16:25,2020-07-13 16:25,30389,4,49
2020-07-13 16:26,2020-07-13 16:26,30389,0,-83
2020-07-13 16:33,2020-07-13 16:34,30388,51,-43
2020-07-13 16:36,2020-07-13 16:39,30384,210,-68
2020-07-13 16:37,2020-07-13 16:39,30388,141,-49
2020-07-13 16:42,2020-07-13 16:42,30384,21,-32
2020-07-13 16:42,2020-07-13 16:43,30388,33,-31
2020-07-13 16:47,2020-07-13 16:48,30388,51,-40
2020-07-13 16:45,2020-07-13 16:50,30384,313,-72
2020-07-13 16:51,2020-07-13 16:51,30388,0,-82
2020-07-13 16:53,2020-07-13 16:53,30388,15,3
2020-07-13 16:53,2020-07-13 16:53,30384,9,-17
2020-07-13 16:55,2020-07-13 16:55,30388,0,-85
2020-07-13 16:58,2020-07-13 16:59,30388,57,-47
2020-07-13 16:59,2020-07-13 16:59,30384,18,-29
2020-07-13 17:00,2020-07-13 17:00,30384,27,-19
2020-07-13 17:00,2020-07-13 17:02,30388,117,-68
2020-07-13 17:07,2020-07-13 17:09,30384,156,-68
2020-07-13 17:17,2020-07-13 17:17,30389,0,-81
2020-07-13 17:17,2020-07-13 17:19,30388,176,-62
2020-07-13 17:22,2020-07-13 17:22,30384,0,-79
2020-07-13 17:21,2020-07-13 17:23,30388,99,-58
2020-07-13 17:23,2020-07-13 17:23,30389,0,-79
2020-07-13 17:23,2020-07-13 17:24,30384,33,-54
2020-07-13 17:26,2020-07-13 17:26,30384,0,-84
2020-07-13 17:27,2020-07-13 17:29,30387,130,-67
2020-07-13 17:27,2020-07-13 17:29,30388,98,-59
2020-07-13 17:29,2020-07-13 17:29,30389,21,47
2020-07-13 17:31,2020-07-13 17:34,30388,163,-54
2020-07-13 17:31,2020-07-13 17:34,30387,196,-70
2020-07-13 17:33,2020-07-13 17:34,30389,55,5
2020-07-13 17:37,2020-07-13 17:38,30389,34,-13
2020-07-13 17:38,2020-07-13 17:38,30384,10,3
2020-07-13 17:36,2020-07-13 17:38,30388,129,-67
