Start,Stop ,Proximity,Session,RSSI
2020-06-18 23:17,2020-06-18 23:17,30391,0,-77
2020-06-18 23:23,2020-06-18 23:24,30388,81,-58
2020-06-18 23:23,2020-06-18 23:27,30391,208,-58
2020-06-18 23:26,2020-06-18 23:28,30388,124,-64
2020-06-18 23:28,2020-06-18 23:28,30391,0,-86
2020-06-18 23:31,2020-06-18 23:31,30388,2,46
2020-06-18 23:32,2020-06-18 23:33,30388,45,-56
2020-06-18 23:32,2020-06-18 23:32,30391,0,-83
2020-06-18 23:34,2020-06-18 23:35,30388,17,-16
2020-06-18 23:37,2020-06-18 23:39,30388,82,-62
2020-06-18 23:41,2020-06-18 23:41,30388,0,-78
2020-06-18 23:41,2020-06-18 23:42,30391,60,-50
2020-06-18 23:42,2020-06-18 23:43,30388,54,45
2020-06-18 23:45,2020-06-18 23:45,30388,0,-84
2020-06-18 23:46,2020-06-18 23:46,30391,27,-14
2020-06-18 23:47,2020-06-18 23:47,30388,21,-35
2020-06-18 23:49,2020-06-18 23:49,30391,24,-19
2020-06-18 23:49,2020-06-18 23:49,30388,39,-20
2020-06-18 23:51,2020-06-18 23:51,30385,30,45
2020-06-18 23:52,2020-06-18 23:52,30387,0,-78
2020-06-18 23:52,2020-06-18 23:52,30391,6,3
2020-06-18 23:54,2020-06-18 23:54,30384,9,44
2020-06-18 23:55,2020-06-18 23:55,30386,0,-81
2020-06-18 23:58,2020-06-18 23:59,30385,9,4
2020-06-18 23:58,2020-06-19 0:02,30384,235,-72
2020-06-19 0:01,2020-06-19 0:02,30389,48,-41
2020-06-18 23:56,2020-06-19 0:05,30391,488,-74
2020-06-19 0:06,2020-06-19 0:06,30387,0,-84
2020-06-19 0:06,2020-06-19 0:06,30385,15,46
2020-06-19 0:07,2020-06-19 0:08,30387,39,-19
2020-06-19 0:07,2020-06-19 0:08,30389,40,-37
2020-06-19 0:07,2020-06-19 0:08,30386,9,-17
2020-06-19 0:07,2020-06-19 0:09,30385,88,-52
2020-06-19 0:09,2020-06-19 0:09,30391,0,-85
2020-06-19 0:10,2020-06-19 0:11,30386,54,-30
2020-06-19 0:11,2020-06-19 0:11,30391,18,45
2020-06-19 0:09,2020-06-19 0:12,30388,183,-71
2020-06-19 0:11,2020-06-19 0:12,30385,63,-32
2020-06-19 0:07,2020-06-19 0:12,30384,334,-69
2020-06-19 0:09,2020-06-19 0:12,30387,198,-67
2020-06-19 0:09,2020-06-19 0:13,30389,215,-73
2020-06-19 0:15,2020-06-19 0:15,30391,9,4
2020-06-19 0:18,2020-06-19 0:18,30387,0,-84
2020-06-19 0:18,2020-06-19 0:19,30385,16,2
2020-06-19 0:20,2020-06-19 0:20,30387,9,47
2020-06-19 0:13,2020-06-19 0:22,30388,515,-72
2020-06-19 0:23,2020-06-19 0:24,30385,75,-65
2020-06-19 0:23,2020-06-19 0:25,30388,68,-63
2020-06-19 0:26,2020-06-19 0:26,30388,0,-84
2020-06-19 0:27,2020-06-19 0:27,30385,7,44
2020-06-19 0:27,2020-06-19 0:27,30388,0,-81
2020-06-19 0:27,2020-06-19 0:29,30391,67,-56
2020-06-19 0:29,2020-06-19 0:29,30388,0,-87
2020-06-19 0:32,2020-06-19 0:32,30385,0,-82
2020-06-19 0:32,2020-06-19 0:32,30391,0,-79
2020-06-19 0:25,2020-06-19 0:32,30389,432,-76
2020-06-19 0:34,2020-06-19 0:34,30385,0,-83
2020-06-19 0:34,2020-06-19 0:34,30389,0,-83
2020-06-19 0:25,2020-06-19 0:42,30387,1036,-78
2020-06-19 0:43,2020-06-19 0:43,30389,0,-84
2020-06-19 0:45,2020-06-19 0:45,30389,0,-82
2020-06-19 0:44,2020-06-19 0:54,30391,628,-76
2020-06-19 0:55,2020-06-19 0:55,30389,31,44
2020-06-19 0:31,2020-06-19 0:56,30388,1460,-77
2020-06-19 0:57,2020-06-19 0:57,30391,9,44
2020-06-19 0:58,2020-06-19 0:59,30387,12,45
2020-06-19 0:59,2020-06-19 0:59,30385,10,-17
2020-06-19 0:58,2020-06-19 1:00,30388,83,-39
2020-06-19 1:07,2020-06-19 1:07,30386,3,44
2020-06-19 1:07,2020-06-19 1:07,30388,36,-51
2020-06-19 1:07,2020-06-19 1:07,30387,3,44
2020-06-19 1:08,2020-06-19 1:08,30391,18,-35
2020-06-19 1:11,2020-06-19 1:12,30387,19,-32
2020-06-19 1:12,2020-06-19 1:12,30386,0,-83
2020-06-19 1:11,2020-06-19 1:13,30388,104,-31
2020-06-19 1:15,2020-06-19 1:15,30387,9,46
2020-06-19 1:15,2020-06-19 1:15,30384,0,-74
2020-06-19 1:16,2020-06-19 1:17,30384,28,-27
2020-06-19 1:22,2020-06-19 1:24,30388,106,-60
2020-06-19 1:26,2020-06-19 1:27,30388,51,6
2020-06-19 1:34,2020-06-19 1:34,30391,0,-78
2020-06-19 1:28,2020-06-19 1:36,30388,450,-72
2020-06-19 1:37,2020-06-19 1:40,30388,189,-68
2020-06-19 1:42,2020-06-19 1:42,30384,0,-83
2020-06-19 1:41,2020-06-19 1:47,30388,390,-74
2020-06-19 1:49,2020-06-19 1:49,30388,52,-48
2020-06-19 1:51,2020-06-19 1:55,30388,271,-72
2020-06-19 1:57,2020-06-19 1:57,30391,0,-82
2020-06-19 1:57,2020-06-19 2:00,30388,190,-65
2020-06-19 1:58,2020-06-19 1:59,30386,57,-39
2020-06-19 2:01,2020-06-19 2:02,30388,88,-64
2020-06-19 2:03,2020-06-19 2:04,30391,6,8
2020-06-19 2:04,2020-06-19 2:04,30388,18,-30
2020-06-19 2:05,2020-06-19 2:09,30388,199,-72
2020-06-19 2:12,2020-06-19 2:12,30387,18,5
2020-06-19 2:10,2020-06-19 2:13,30388,207,-71
2020-06-19 2:15,2020-06-19 2:15,30386,3,46
2020-06-19 2:14,2020-06-19 2:18,30391,227,-73
2020-06-19 2:16,2020-06-19 2:19,30387,185,-72
2020-06-19 2:19,2020-06-19 2:19,30385,0,-84
2020-06-19 2:20,2020-06-19 2:21,30387,51,-54
2020-06-19 2:21,2020-06-19 2:21,30385,0,-82
2020-06-19 2:16,2020-06-19 2:22,30388,364,-71
2020-06-19 2:23,2020-06-19 2:23,30389,0,-78
2020-06-19 2:23,2020-06-19 2:23,30385,19,-16
2020-06-19 2:23,2020-06-19 2:24,30388,7,4
2020-06-19 2:25,2020-06-19 2:25,30388,0,-79
2020-06-19 2:22,2020-06-19 2:26,30391,234,-70
