Start,Stop,Proximity ID,Session,RSSI
2020-06-18 23:09,2020-06-18 23:09,30390,0,-81
2020-06-18 23:16,2020-06-18 23:16,30390,0,-85
2020-06-18 23:20,2020-06-18 23:20,30389,0,-84
2020-06-18 23:19,2020-06-18 23:21,30388,114,-42
2020-06-18 23:21,2020-06-18 23:24,30389,153,-66
2020-06-18 23:22,2020-06-18 23:28,30388,330,-71
2020-06-18 23:23,2020-06-18 23:28,30390,257,-61
2020-06-18 23:30,2020-06-18 23:31,30388,75,-49
2020-06-18 23:41,2020-06-18 23:41,30388,16,-19
2020-06-18 23:41,2020-06-18 23:42,30390,57,-50
2020-06-18 23:43,2020-06-18 23:44,30388,82,-56
2020-06-18 23:46,2020-06-18 23:46,30390,25,-28
2020-06-18 23:46,2020-06-18 23:46,30388,3,46
2020-06-18 23:48,2020-06-18 23:48,30388,3,47
2020-06-18 23:49,2020-06-18 23:49,30390,0,-75
2020-06-18 23:50,2020-06-18 23:51,30388,27,-14
2020-06-18 23:53,2020-06-18 23:53,30387,3,47
2020-06-18 23:53,2020-06-18 23:53,30388,12,-20
2020-06-18 23:54,2020-06-18 23:54,30387,0,-82
2020-06-18 23:54,2020-06-18 23:54,30388,0,-80
2020-06-18 23:55,2020-06-18 23:55,30387,6,45
2020-06-18 23:56,2020-06-18 23:56,30386,0,-75
2020-06-18 23:57,2020-06-18 23:58,30387,33,-43
2020-06-18 23:56,2020-06-18 23:59,30388,134,-63
2020-06-18 23:58,2020-06-18 23:59,30385,52,-54
2020-06-19 0:00,2020-06-19 0:00,30389,39,44
2020-06-19 0:01,2020-06-19 0:01,30387,0,-84
2020-06-19 0:02,2020-06-19 0:02,30384,0,-84
2020-06-19 0:02,2020-06-19 0:02,30389,18,1
2020-06-18 23:56,2020-06-19 0:02,30390,363,-73
2020-06-19 0:04,2020-06-19 0:04,30390,0,-84
2020-06-19 0:05,2020-06-19 0:06,30387,30,-40
2020-06-19 0:06,2020-06-19 0:06,30386,0,-86
2020-06-19 0:01,2020-06-19 0:08,30388,414,-75
2020-06-19 0:08,2020-06-19 0:08,30387,0,-84
2020-06-19 0:09,2020-06-19 0:09,30389,0,-85
2020-06-19 0:09,2020-06-19 0:09,30388,0,-82
2020-06-19 0:06,2020-06-19 0:09,30385,227,-69
2020-06-19 0:09,2020-06-19 0:09,30386,0,-83
2020-06-19 0:10,2020-06-19 0:10,30384,0,-81
2020-06-19 0:10,2020-06-19 0:12,30388,85,-19
