Start,Stop,Proximity,Session,RSSI
2020-06-18 17:32,2020-06-18 17:32,30379,33,-13
2020-06-18 17:34,2020-06-18 17:36,30379,128,-61
2020-06-18 17:39,2020-06-18 17:39,30379,24,-41
2020-06-18 17:42,2020-06-18 17:43,30379,60,-65
2020-06-18 17:44,2020-06-18 17:48,30379,235,-73
2020-06-18 17:50,2020-06-18 17:50,30379,6,47
2020-06-18 17:52,2020-06-18 17:56,30379,261,-73
2020-06-18 17:58,2020-06-18 18:02,30379,212,-74
2020-06-18 18:03,2020-06-18 18:04,30379,87,-59
2020-06-18 18:11,2020-06-18 18:11,30379,0,-83
2020-06-18 18:13,2020-06-18 18:13,30379,33,-33
2020-06-18 18:15,2020-06-18 18:15,30379,3,43
2020-06-18 18:17,2020-06-18 18:17,30379,0,-82
2020-06-18 18:29,2020-06-18 18:31,30379,111,-70
2020-06-18 18:34,2020-06-18 18:34,30379,0,-87
2020-06-18 18:41,2020-06-18 18:42,30379,24,-33
2020-06-18 18:48,2020-06-18 18:48,30379,18,-33
2020-06-18 18:53,2020-06-18 18:53,30379,3,45
2020-06-18 19:05,2020-06-18 19:06,30379,36,-32
2020-06-18 19:08,2020-06-18 19:09,30379,24,45
2020-06-18 19:10,2020-06-18 19:10,30379,0,-81
2020-06-18 19:12,2020-06-18 19:13,30379,35,-60
2020-06-18 19:14,2020-06-18 19:14,30379,0,-83
2020-06-18 19:17,2020-06-18 19:17,30379,12,2
2020-06-18 19:21,2020-06-18 19:22,30379,87,-50
2020-06-18 19:27,2020-06-18 19:27,30379,30,45
2020-06-18 19:29,2020-06-18 19:29,30379,43,-20
2020-06-18 19:35,2020-06-18 19:36,30379,66,-37
2020-06-18 19:39,2020-06-18 19:39,30379,12,-16
2020-06-18 19:44,2020-06-18 19:44,30379,0,-85
2020-06-18 19:47,2020-06-18 19:47,30379,6,5
2020-06-18 19:51,2020-06-18 19:54,30379,136,-71
2020-06-18 19:57,2020-06-18 19:59,30379,132,-65
2020-06-18 20:00,2020-06-18 20:03,30379,142,-72
2020-06-18 20:12,2020-06-18 20:12,30379,0,-81
2020-06-18 20:15,2020-06-18 20:15,30379,19,45
2020-06-18 20:17,2020-06-18 20:17,30379,9,-17
2020-06-18 20:29,2020-06-18 20:29,30379,0,-82
2020-06-18 20:34,2020-06-18 20:34,30379,18,-18
2020-06-18 20:34,2020-06-18 20:34,30381,0,-80
2020-06-18 20:35,2020-06-18 20:36,30383,29,48
2020-06-18 20:47,2020-06-18 20:47,30379,3,44
2020-06-18 20:54,2020-06-18 20:54,30382,6,6
2020-06-18 20:57,2020-06-18 20:57,30379,0,-83
2020-06-18 21:09,2020-06-18 21:09,30381,12,45
2020-06-18 21:11,2020-06-18 21:11,30383,6,45
2020-06-18 21:16,2020-06-18 21:16,30379,3,45
2020-06-18 21:21,2020-06-18 21:21,30379,21,-35
2020-06-18 21:22,2020-06-18 21:22,30379,0,-83
2020-06-18 21:25,2020-06-18 21:25,30382,0,-84
2020-06-18 21:27,2020-06-18 21:27,30382,21,-40
2020-06-18 21:27,2020-06-18 21:27,30379,9,5
2020-06-18 21:43,2020-06-18 21:43,30382,12,45
2020-06-18 21:54,2020-06-18 21:55,30383,29,-36
2020-06-18 22:06,2020-06-18 22:06,30379,6,46
2020-06-18 22:07,2020-06-18 22:07,30383,0,-83
2020-06-18 23:02,2020-06-18 23:02,30382,0,-83
2020-06-18 23:42,2020-06-18 23:42,30379,3,49
2020-06-18 23:44,2020-06-18 23:44,30383,0,-79
2020-06-18 23:44,2020-06-18 23:44,30382,0,-86
2020-06-18 23:45,2020-06-18 23:46,30383,81,-40
2020-06-18 23:45,2020-06-18 23:46,30379,73,-64
2020-06-18 23:48,2020-06-18 23:48,30382,0,-82
2020-06-18 23:48,2020-06-18 23:48,30383,26,-47
2020-06-18 23:52,2020-06-18 23:53,30379,51,-54
2020-06-19 0:01,2020-06-19 0:01,30379,25,-21
2020-06-19 0:06,2020-06-19 0:07,30379,66,-64
2020-06-19 0:08,2020-06-19 0:09,30383,30,-32
2020-06-19 0:10,2020-06-19 0:11,30383,57,-18
2020-06-19 0:12,2020-06-19 0:13,30381,48,-29
2020-06-19 0:14,2020-06-19 0:18,30379,238,-73
2020-06-19 0:17,2020-06-19 0:18,30382,30,-56
2020-06-19 0:26,2020-06-19 0:27,30382,42,-48
2020-06-19 0:28,2020-06-19 0:28,30381,0,-82
2020-06-19 0:28,2020-06-19 0:30,30383,144,-64
2020-06-19 0:34,2020-06-19 0:34,30382,0,-84
2020-06-19 0:28,2020-06-19 0:39,30379,610,-76
2020-06-19 0:40,2020-06-19 0:42,30379,84,-58
2020-06-19 0:44,2020-06-19 0:46,30379,74,-58
2020-06-19 0:48,2020-06-19 0:49,30387,6,5
2020-06-19 0:49,2020-06-19 0:51,30386,111,-55
2020-06-19 0:51,2020-06-19 0:51,30379,0,-79
2020-06-19 0:54,2020-06-19 0:55,30387,53,44
2020-06-19 0:57,2020-06-19 0:57,30388,33,-54
2020-06-19 0:58,2020-06-19 0:58,30391,24,-52
2020-06-19 0:57,2020-06-19 0:59,30383,118,-64
2020-06-19 0:59,2020-06-19 1:00,30391,73,-65
2020-06-19 1:00,2020-06-19 1:00,30389,0,-83
2020-06-19 1:04,2020-06-19 1:04,30391,0,-84
2020-06-19 1:05,2020-06-19 1:05,30391,9,-14
2020-06-19 1:11,2020-06-19 1:18,30383,378,-76
2020-06-19 1:19,2020-06-19 1:24,30379,288,-71
2020-06-19 1:23,2020-06-19 1:24,30382,27,-40
2020-06-19 1:25,2020-06-19 1:26,30379,48,-59
2020-06-19 1:44,2020-06-19 1:44,30382,9,-17
2020-06-19 2:58,2020-06-19 2:58,30383,0,-78
2020-06-19 3:00,2020-06-19 3:00,30379,0,-79
2020-06-19 3:04,2020-06-19 3:04,30383,3,47
2020-06-19 3:07,2020-06-19 3:07,30383,15,1
2020-06-19 3:07,2020-06-19 3:07,30381,0,-83
2020-06-19 3:10,2020-06-19 3:10,30383,0,-85
2020-06-19 3:12,2020-06-19 3:12,30383,48,1
2020-06-19 3:16,2020-06-19 3:16,30383,45,-39
2020-06-19 3:16,2020-06-19 3:16,30382,0,-79
2020-06-19 3:18,2020-06-19 3:18,30382,6,47
2020-06-19 3:18,2020-06-19 3:24,30383,408,-74
2020-06-19 3:26,2020-06-19 3:26,30381,0,-83
2020-06-19 3:28,2020-06-19 3:29,30381,50,44
2020-06-19 3:26,2020-06-19 3:31,30383,347,-73
2020-06-19 3:31,2020-06-19 3:32,30381,12,47
2020-06-19 3:34,2020-06-19 3:36,30382,115,-60
2020-06-19 3:37,2020-06-19 3:38,30382,52,-41
2020-06-19 3:35,2020-06-19 3:39,30383,256,-69
2020-06-19 3:37,2020-06-19 3:39,30379,146,-56
2020-06-19 3:46,2020-06-19 3:46,30382,9,10
2020-06-19 3:47,2020-06-19 3:48,30383,45,43
2020-06-19 3:48,2020-06-19 3:48,30381,0,-85
2020-06-19 3:47,2020-06-19 3:49,30379,83,-62
2020-06-19 3:50,2020-06-19 3:50,30381,0,-85
2020-06-19 3:50,2020-06-19 3:54,30379,215,-75
2020-06-19 3:54,2020-06-19 3:54,30381,0,-83
2020-06-19 3:55,2020-06-19 3:57,30382,132,-72
2020-06-19 3:58,2020-06-19 3:58,30379,0,-84
2020-06-19 3:55,2020-06-19 4:00,30383,303,-74
2020-06-19 4:00,2020-06-19 4:00,30379,3,45
2020-06-19 4:01,2020-06-19 4:01,30382,0,-84
2020-06-19 4:02,2020-06-19 4:04,30383,93,-54
2020-06-19 4:04,2020-06-19 4:04,30382,0,-85
2020-06-19 4:04,2020-06-19 4:04,30379,3,46
2020-06-19 4:12,2020-06-19 4:16,30379,269,-74
2020-06-19 4:19,2020-06-19 4:19,30379,6,2
2020-06-19 4:20,2020-06-19 4:21,30379,75,-59
2020-06-19 4:23,2020-06-19 4:26,30379,181,-70
2020-06-19 4:27,2020-06-19 4:28,30379,36,43
2020-06-19 4:47,2020-06-19 4:49,30382,148,-69
2020-06-19 4:52,2020-06-19 4:52,30382,3,43
2020-06-19 4:59,2020-06-19 4:59,30382,0,-83
2020-06-19 5:43,2020-06-19 5:43,30382,3,44
2020-06-19 5:50,2020-06-19 5:50,30382,9,1
2020-06-19 6:21,2020-06-19 6:21,30382,31,0
2020-06-19 6:22,2020-06-19 6:26,30382,198,-61
2020-06-19 6:29,2020-06-19 6:29,30382,0,-87
2020-06-19 6:48,2020-06-19 6:48,30382,0,-86
2020-06-19 6:55,2020-06-19 6:55,30382,0,-82
2020-06-19 9:47,2020-06-19 9:48,30379,3,49
2020-06-19 11:13,2020-06-19 11:13,30382,15,2
2020-06-19 12:15,2020-06-19 12:15,30382,0,-82
2020-06-19 12:32,2020-06-19 12:32,30381,8,46
2020-06-19 12:32,2020-06-19 12:33,30379,18,-43
2020-06-19 12:38,2020-06-19 12:38,30383,27,-33
2020-06-19 12:39,2020-06-19 12:39,30383,18,-20
2020-06-19 12:40,2020-06-19 12:40,30379,7,3
2020-06-19 12:40,2020-06-19 12:41,30382,6,45
2020-06-19 13:43,2020-06-19 13:43,30382,39,-32
2020-06-19 14:40,2020-06-19 14:41,30381,46,2
2020-06-19 14:47,2020-06-19 14:48,30381,72,-58
2020-06-19 14:47,2020-06-19 14:49,30383,87,-32
2020-06-19 14:50,2020-06-19 14:50,30381,0,-85
2020-06-19 15:06,2020-06-19 15:06,30381,2,43
2020-06-19 15:07,2020-06-19 15:08,30381,67,-64
2020-06-19 15:09,2020-06-19 15:09,30383,27,-18
2020-06-19 16:08,2020-06-19 16:08,30382,0,-82
2020-06-19 16:12,2020-06-19 16:12,30383,0,-85
2020-06-19 16:14,2020-06-19 16:14,30383,33,-18
2020-06-19 16:13,2020-06-19 16:21,30382,526,-77
2020-06-19 16:23,2020-06-19 16:23,30383,0,-81
2020-06-19 16:26,2020-06-19 16:26,30383,3,46
2020-06-19 16:27,2020-06-19 16:27,30382,0,-84
2020-06-19 16:38,2020-06-19 16:38,30383,0,-84
2020-06-19 16:39,2020-06-19 16:39,30383,9,-13
2020-06-19 16:39,2020-06-19 16:45,30382,347,-70
2020-06-19 16:46,2020-06-19 16:48,30382,108,-61
2020-06-19 16:57,2020-06-19 16:57,30381,0,-83
2020-06-19 17:30,2020-06-19 17:30,30381,0,-84
2020-06-19 17:35,2020-06-19 17:35,30381,0,-86
2020-06-19 17:36,2020-06-19 17:42,30381,306,-78
2020-06-19 17:43,2020-06-19 17:47,30381,285,-76
2020-06-19 17:48,2020-06-19 17:59,30381,663,-80
2020-06-19 18:00,2020-06-19 18:12,30381,668,-80
2020-06-19 18:33,2020-06-19 18:35,30381,121,-70
2020-06-19 18:37,2020-06-19 18:38,30381,72,-20
2020-06-19 18:39,2020-06-19 18:41,30381,97,-46
2020-06-19 18:42,2020-06-19 18:44,30381,84,-57
2020-06-19 18:47,2020-06-19 18:48,30381,78,-57
2020-06-19 18:49,2020-06-19 18:49,30381,9,44
2020-06-19 18:52,2020-06-19 18:54,30379,126,-70
2020-06-19 18:56,2020-06-19 18:56,30383,0,-84
2020-06-19 19:00,2020-06-19 19:04,30379,248,-72
2020-06-19 19:06,2020-06-19 19:06,30381,15,45
2020-06-19 19:07,2020-06-19 19:11,30381,204,-64
2020-06-19 19:12,2020-06-19 19:17,30381,271,-75
2020-06-19 19:07,2020-06-19 19:18,30383,682,-77
2020-06-19 19:24,2020-06-19 19:24,30382,40,45
2020-06-19 19:21,2020-06-19 19:26,30383,280,-72
2020-06-19 19:28,2020-06-19 19:28,30381,0,-83
