Product Type: Litetrack LR
Product ID: 80385
Firmware Version: V8.99.0

GMT Time,X,Y,Z,Temperature [C]
2020-09-16 9:23:40 AM,-5,3,-23,11.5
2020-09-16 9:23:42 AM,-6,5,-20,11.5
2020-09-16 9:23:44 AM,-3,3,-22,11.5
2020-09-16 9:23:46 AM,-6,3,-22,11.5
2020-09-16 9:23:48 AM,-4,3,-22,11.5
2020-09-16 9:23:50 AM,-6,4,-22,11.5
2020-09-16 9:23:52 AM,-4,4,-20,11.5
2020-09-16 9:23:54 AM,-7,6,-23,11.5
2020-09-16 9:23:56 AM,-2,2,-22,11.5
2020-09-16 9:23:58 AM,-4,2,-22,11.5
2020-09-16 9:24:00 AM,-4,3,-22,11.5
2020-09-16 9:24:02 AM,-3,1,-23,11.5
2020-09-16 9:24:04 AM,-3,3,-22,11.5
2020-09-16 9:24:06 AM,-5,4,-22,11.5
2020-09-16 9:24:08 AM,-3,3,-22,11.5
2020-09-16 9:24:10 AM,-5,3,-22,11.5
2020-09-16 9:24:12 AM,-5,5,-24,11.5
2020-09-16 9:24:14 AM,-5,4,-22,11.5
2020-09-16 9:24:16 AM,-4,4,-23,11.5
2020-09-16 9:24:18 AM,-5,4,-22,11.5
2020-09-16 9:24:20 AM,-6,3,-22,11.5
2020-09-16 9:24:22 AM,-2,2,-23,11.5
2020-09-16 9:24:24 AM,-4,5,-23,11.5
2020-09-16 9:24:26 AM,-3,2,-23,11.5
2020-09-16 9:24:28 AM,-5,6,-22,11.5
2020-09-16 9:24:30 AM,-5,3,-23,11.5
2020-09-16 9:24:32 AM,-4,4,-22,11.5
2020-09-16 9:24:34 AM,-5,6,-22,11.5
2020-09-16 9:24:36 AM,-6,4,-22,11.5
2020-09-16 9:24:38 AM,-4,3,-22,11.5
2020-09-16 9:24:40 AM,-4,5,-21,11.5
2020-09-16 9:24:42 AM,-3,3,-22,11.5
2020-09-16 9:24:44 AM,-5,4,-23,11.5
2020-09-16 9:24:46 AM,-5,2,-23,11.5
2020-09-16 9:24:48 AM,-3,4,-23,11.5
2020-09-16 9:24:50 AM,-5,2,-23,11.5
2020-09-16 9:24:52 AM,-2,3,-22,11.5
2020-09-16 9:24:54 AM,-4,3,-23,11.5
2020-09-16 9:24:56 AM,-3,4,-23,11.5
2020-09-16 9:24:58 AM,-4,4,-24,11.5
2020-09-16 9:25:00 AM,-2,2,-23,11.5
2020-09-16 9:25:02 AM,-4,5,-22,11.5
2020-09-16 9:25:04 AM,-6,7,-23,11.5
2020-09-16 9:25:06 AM,-6,3,-22,11.5
2020-09-16 9:25:08 AM,-4,5,-21,11.5
2020-09-16 9:25:10 AM,-4,5,-22,11.5
2020-09-16 9:25:12 AM,-3,4,-22,11.5
2020-09-16 9:25:14 AM,-7,5,-22,11.5
2020-09-16 9:25:16 AM,-4,4,-22,11.5
2020-09-16 9:25:18 AM,-5,4,-22,11.5
2020-09-16 9:25:20 AM,-5,5,-22,11.5
2020-09-16 9:25:22 AM,-4,5,-22,11.5
2020-09-16 9:25:24 AM,-3,4,-22,11.5
2020-09-16 9:25:26 AM,-2,5,-21,11.5
2020-09-16 9:25:28 AM,-6,6,-21,11.5
2020-09-16 9:25:30 AM,-4,5,-22,12.0
2020-09-16 9:25:32 AM,-5,5,-21,12.0
2020-09-16 9:25:34 AM,-6,4,-22,12.0
2020-09-16 9:25:36 AM,-6,6,-22,12.0
2020-09-16 9:25:38 AM,-5,5,-22,12.0
2020-09-16 9:25:40 AM,-3,3,-23,12.0
2020-09-16 9:25:42 AM,-2,3,-23,12.0
2020-09-16 9:25:44 AM,-3,3,-24,12.0
2020-09-16 9:25:46 AM,-4,5,-22,12.0
2020-09-16 9:25:48 AM,-6,7,-23,12.0
2020-09-16 9:25:50 AM,-5,4,-21,12.0
2020-09-16 9:25:52 AM,-6,6,-22,12.0
2020-09-16 9:25:54 AM,-6,4,-23,12.0
2020-09-16 9:25:56 AM,-5,4,-23,12.0
2020-09-16 9:25:58 AM,-5,4,-21,12.0
2020-09-16 9:26:00 AM,-4,3,-24,12.0
2020-09-16 9:26:02 AM,-2,4,-20,12.0
2020-09-16 9:26:04 AM,-3,2,-22,12.0
2020-09-16 9:26:06 AM,-5,4,-23,12.0
2020-09-16 9:26:08 AM,-5,5,-23,12.0
2020-09-16 9:26:10 AM,-1,4,-21,12.0
2020-09-16 9:26:12 AM,-1,3,-22,12.0
2020-09-16 9:26:14 AM,-4,2,-21,11.5
2020-09-16 9:26:16 AM,-2,1,-23,11.5
2020-09-16 9:26:18 AM,1,2,-23,11.5
2020-09-16 9:26:20 AM,-4,4,-23,11.5
2020-09-16 9:26:22 AM,-2,5,-23,11.5
2020-09-16 9:26:24 AM,-4,1,-24,11.5
2020-09-16 9:26:26 AM,-4,3,-22,11.5
2020-09-16 9:26:28 AM,-5,6,-22,11.5
2020-09-16 9:26:30 AM,-6,4,-23,12.0
2020-09-16 9:26:32 AM,-8,-1,-21,12.0
2020-09-16 9:26:34 AM,-6,2,-22,12.0
2020-09-16 9:26:36 AM,-7,3,-22,12.0
2020-09-16 9:26:38 AM,-7,4,-23,12.0
2020-09-16 9:26:40 AM,-2,2,-21,12.0
2020-09-16 9:26:42 AM,-6,3,-22,12.0
2020-09-16 9:26:44 AM,-5,3,-22,11.5
2020-09-16 9:26:46 AM,-7,3,-22,11.5
2020-09-16 9:26:48 AM,-6,7,-22,11.5
2020-09-16 9:26:50 AM,-6,3,-22,11.5
2020-09-16 9:26:52 AM,-4,3,-22,11.5
2020-09-16 9:26:54 AM,-5,4,-22,11.5
2020-09-16 9:26:56 AM,-6,6,-21,11.5
2020-09-16 9:26:58 AM,-5,5,-21,11.5
2020-09-16 9:27:00 AM,-4,1,-23,11.5
2020-09-16 9:27:02 AM,-5,4,-22,11.5
2020-09-16 9:27:04 AM,-7,5,-21,11.5
2020-09-16 9:27:06 AM,-7,3,-22,11.5
2020-09-16 9:27:08 AM,-4,2,-22,11.5
2020-09-16 9:27:10 AM,-7,5,-21,11.5
2020-09-16 9:27:12 AM,-6,3,-21,11.5
2020-09-16 9:27:14 AM,-3,3,-23,11.5
2020-09-16 9:27:16 AM,-4,5,-22,11.5
2020-09-16 9:27:18 AM,-4,2,-23,11.5
2020-09-16 9:27:20 AM,-3,2,-22,11.5
2020-09-16 9:27:22 AM,-2,2,-23,11.5
2020-09-16 9:27:24 AM,-3,1,-22,11.5
2020-09-16 9:27:26 AM,-2,3,-20,11.5
2020-09-16 9:27:28 AM,-4,2,-23,11.5
2020-09-16 9:27:30 AM,-3,3,-13,11.5
2020-09-16 9:27:32 AM,-4,3,-22,11.5
2020-09-16 9:27:34 AM,-3,4,-23,11.5
2020-09-16 9:27:36 AM,-4,3,-21,11.5
2020-09-16 9:27:38 AM,-9,4,-22,11.5
2020-09-16 9:27:40 AM,-3,4,-22,11.5
2020-09-16 9:27:42 AM,-4,3,-24,11.5
2020-09-16 9:27:44 AM,-4,3,-23,11.5
2020-09-16 9:27:46 AM,-3,0,-23,11.5
2020-09-16 9:27:48 AM,-4,5,-23,11.5
2020-09-16 9:27:50 AM,-4,1,-23,11.5
2020-09-16 9:27:52 AM,-5,5,-24,11.5
2020-09-16 9:27:54 AM,-4,1,-22,11.5
2020-09-16 9:27:56 AM,-3,3,-23,11.5
2020-09-16 9:27:58 AM,-1,1,-22,11.5
2020-09-16 9:28:00 AM,-5,6,-21,11.5
2020-09-16 9:28:02 AM,-6,4,-21,11.5
2020-09-16 9:28:04 AM,-3,4,-22,11.5
2020-09-16 9:28:06 AM,-5,4,-29,11.5
2020-09-16 9:28:08 AM,-4,5,-22,11.5
2020-09-16 9:28:10 AM,-5,3,-22,11.5
2020-09-16 9:28:12 AM,-2,1,-23,11.5
2020-09-16 9:28:14 AM,-5,3,-22,11.5
2020-09-16 9:28:16 AM,-3,4,-23,11.5
2020-09-16 9:28:18 AM,-3,4,-23,11.5
2020-09-16 9:28:20 AM,-5,2,-22,11.5
2020-09-16 9:28:22 AM,-5,5,-21,11.5
2020-09-16 9:28:24 AM,-3,3,-23,11.5
2020-09-16 9:28:26 AM,-3,1,-23,11.5
2020-09-16 9:28:28 AM,-4,5,-25,11.5
2020-09-16 9:28:30 AM,-2,2,-23,11.5
2020-09-16 9:28:32 AM,-4,5,-23,11.5
2020-09-16 9:28:34 AM,-5,2,-22,11.5
2020-09-16 9:28:36 AM,-6,7,-22,11.5
2020-09-16 9:28:38 AM,-2,1,-24,11.5
2020-09-16 9:28:40 AM,-3,3,-23,11.5
2020-09-16 9:28:42 AM,-1,3,-23,11.5
2020-09-16 9:28:44 AM,-3,3,-22,11.0
2020-09-16 9:28:46 AM,-3,5,-22,11.0
2020-09-16 9:28:48 AM,-3,2,-22,11.0
2020-09-16 9:28:50 AM,-5,4,-22,11.0
2020-09-16 9:28:52 AM,-4,6,-22,11.0
2020-09-16 9:28:54 AM,-4,4,-22,11.0
2020-09-16 9:28:56 AM,-2,2,-23,11.0
2020-09-16 9:28:58 AM,-2,4,-22,11.0
2020-09-16 9:29:00 AM,-5,2,-22,11.5
2020-09-16 9:29:02 AM,-2,5,-23,11.5
2020-09-16 9:29:04 AM,-5,3,-13,11.5
2020-09-16 9:29:06 AM,-4,3,-23,11.5
2020-09-16 9:29:08 AM,-4,3,-23,11.5
2020-09-16 9:29:10 AM,-2,2,-22,11.5
2020-09-16 9:29:12 AM,-2,4,-23,11.5
2020-09-16 9:29:14 AM,-2,0,-23,11.0
2020-09-16 9:29:16 AM,-4,4,-25,11.0
2020-09-16 9:29:18 AM,-6,6,-23,11.0
2020-09-16 9:29:20 AM,-7,5,-22,11.0
2020-09-16 9:29:22 AM,-5,4,-21,11.0
2020-09-16 9:29:24 AM,-3,4,-21,11.0
2020-09-16 9:29:26 AM,-4,3,-23,11.0
2020-09-16 9:29:28 AM,-3,2,-23,11.0
2020-09-16 9:29:30 AM,-2,5,-22,11.0
2020-09-16 9:29:32 AM,-3,2,-23,11.0
2020-09-16 9:29:34 AM,-2,3,-22,11.0
2020-09-16 9:29:36 AM,-4,1,-22,11.0
2020-09-16 9:29:38 AM,-2,4,-22,11.0
2020-09-16 9:29:40 AM,-4,5,-22,11.0
2020-09-16 9:29:42 AM,-6,5,-22,11.0
2020-09-16 9:29:44 AM,-2,3,-23,11.0
2020-09-16 9:29:46 AM,-3,2,-22,11.0
2020-09-16 9:29:48 AM,-8,5,-21,11.0
2020-09-16 9:29:50 AM,-7,5,-22,11.0
2020-09-16 9:29:52 AM,-5,3,-21,11.0
2020-09-16 9:29:54 AM,-2,1,-24,11.0
2020-09-16 9:29:56 AM,-4,3,-24,11.0
2020-09-16 9:29:58 AM,-4,3,-23,11.0
2020-09-16 9:30:00 AM,-4,3,-23,11.0
2020-09-16 9:30:02 AM,-5,4,-22,11.0
2020-09-16 9:30:04 AM,-6,4,-21,11.0
2020-09-16 9:30:06 AM,-4,3,-22,11.0
2020-09-16 9:30:08 AM,-3,4,-21,11.0
2020-09-16 9:30:10 AM,-6,3,-22,11.0
2020-09-16 9:30:12 AM,-4,1,-23,11.0
2020-09-16 9:30:14 AM,-2,0,-23,11.0
2020-09-16 9:30:16 AM,-5,6,-21,11.0
2020-09-16 9:30:18 AM,-5,4,-22,11.0
2020-09-16 9:30:20 AM,-7,6,-21,11.0
2020-09-16 9:30:22 AM,-7,4,-22,11.0
2020-09-16 9:30:24 AM,-7,6,-23,11.0
2020-09-16 9:30:26 AM,-5,4,-22,11.0
2020-09-16 9:30:28 AM,-5,3,-23,11.0
2020-09-16 9:30:30 AM,-4,8,-23,11.0
2020-09-16 9:30:32 AM,-7,7,-19,11.0
2020-09-16 9:30:34 AM,-6,5,-21,11.0
2020-09-16 9:30:36 AM,-7,4,-22,11.0
2020-09-16 9:30:38 AM,-2,4,-22,11.0
2020-09-16 9:30:40 AM,-6,4,-22,11.0
2020-09-16 9:30:42 AM,-8,3,-23,11.0
2020-09-16 9:30:44 AM,-4,2,-22,11.0
2020-09-16 9:30:46 AM,-4,4,-23,11.0
2020-09-16 9:30:48 AM,-5,4,-24,11.0
2020-09-16 9:30:50 AM,-7,6,-21,11.0
2020-09-16 9:30:52 AM,-6,4,-20,11.0
2020-09-16 9:30:54 AM,-4,1,-21,11.0
2020-09-16 9:30:56 AM,-5,0,-23,11.0
2020-09-16 9:30:58 AM,-4,4,-24,11.0
2020-09-16 9:31:00 AM,-3,3,-22,11.0
2020-09-16 9:31:02 AM,-4,3,-23,11.0
2020-09-16 9:31:04 AM,-5,1,-21,11.0
2020-09-16 9:31:06 AM,-4,3,-23,11.0
2020-09-16 9:31:08 AM,-5,5,-22,11.0
2020-09-16 9:31:10 AM,-7,2,-21,11.0
2020-09-16 9:31:12 AM,-4,0,-23,11.0
2020-09-16 9:31:14 AM,-3,1,-24,11.0
2020-09-16 9:31:16 AM,-6,2,-21,11.0
2020-09-16 9:31:18 AM,-2,2,-23,11.0
2020-09-16 9:31:20 AM,-5,5,-21,11.0
2020-09-16 9:31:22 AM,-6,3,-21,11.0
2020-09-16 9:31:24 AM,-4,-1,-23,11.0
2020-09-16 9:31:26 AM,-3,3,-23,11.0
2020-09-16 9:31:28 AM,-1,1,-22,11.0
2020-09-16 9:31:30 AM,-5,1,-23,11.0
2020-09-16 9:31:32 AM,-1,1,-23,11.0
2020-09-16 9:31:34 AM,-5,2,-22,11.0
2020-09-16 9:31:36 AM,-4,2,-22,11.0
2020-09-16 9:31:38 AM,-4,2,-22,11.0
2020-09-16 9:31:40 AM,-6,3,-22,11.0
2020-09-16 9:31:42 AM,-1,0,-24,11.0
2020-09-16 9:31:44 AM,-4,3,-24,11.0
2020-09-16 9:31:46 AM,-6,3,-20,11.0
2020-09-16 9:31:48 AM,-4,-2,-26,11.0
2020-09-16 9:31:50 AM,-3,-1,-23,11.0
2020-09-16 9:31:52 AM,-4,4,-23,11.0
