type	time	latitude	longitude	altitude (m)	cadence	color	name	desc
T	2020-09-09 18:14:08	51.387462504	-114.348112503	1212.4	0.0	Cyan	09-SEP-20 01:06:17 PM	
T	2020-09-09 18:16:50	51.387363179	-114.348470829	1214.8	0.0			
T	2020-09-09 18:17:01	51.387359574	-114.349203743	1216.2	0.0			
T	2020-09-09 18:17:12	51.387347840	-114.349949146	1216.7	0.0			
T	2020-09-09 18:17:23	51.387367789	-114.350678287	1216.7	0.0			
T	2020-09-09 18:17:33	51.387372986	-114.351475323	1215.7	0.0			
T	2020-09-09 18:17:43	51.387378098	-114.352231119	1214.3	0.0			
T	2020-09-09 18:17:54	51.387373656	-114.353019521	1214.8	0.0			
T	2020-09-09 18:18:09	51.387139130	-114.353459152	1218.1	0.0			
T	2020-09-09 18:18:21	51.386674438	-114.353455966	1219.1	0.0			
T	2020-09-09 18:18:35	51.386189042	-114.353446914	1221.0	0.0			
T	2020-09-09 18:18:48	51.385704400	-114.353431994	1221.5	0.0			
T	2020-09-09 18:19:04	51.385256304	-114.353428474	1222.5	0.0			
T	2020-09-09 18:19:17	51.384774847	-114.353437023	1224.9	0.0			
T	2020-09-09 18:19:30	51.384315016	-114.353458565	1226.8	0.0			
T	2020-09-09 18:19:45	51.383878235	-114.353435515	1229.2	0.0			
T	2020-09-09 18:19:59	51.383402813	-114.353443561	1230.6	0.0			
T	2020-09-09 18:21:29	51.382950274	-114.353422606	1227.7	0.0			
T	2020-09-09 18:21:44	51.382488515	-114.353437107	1228.7	0.0			
T	2020-09-09 18:22:00	51.382010998	-114.353437442	1231.6	0.0			
T	2020-09-09 18:22:14	51.381556364	-114.353429982	1233.0	0.0			
T	2020-09-09 18:22:28	51.381094102	-114.353425875	1233.0	0.0			
T	2020-09-09 18:22:44	51.380625470	-114.353432665	1234.0	0.0			
T	2020-09-09 18:22:58	51.380166141	-114.353438197	1233.5	0.0			
T	2020-09-09 18:23:12	51.379717542	-114.353411039	1233.0	0.0			
T	2020-09-09 18:23:26	51.379259722	-114.353418583	1233.0	0.0			
T	2020-09-09 18:23:40	51.378781451	-114.353420427	1233.0	0.0			
T	2020-09-09 18:23:52	51.378326649	-114.353419757	1233.0	0.0			
T	2020-09-09 18:24:05	51.377864219	-114.353423528	1233.0	0.0			
T	2020-09-09 18:24:18	51.377423331	-114.353424199	1233.5	0.0			
T	2020-09-09 18:24:49	51.376960315	-114.353415901	1235.9	0.0			
T	2020-09-09 18:25:04	51.376519008	-114.353489829	1233.5	0.0			
T	2020-09-09 18:25:22	51.376571394	-114.354205811	1230.6	0.0			
T	2020-09-09 18:25:36	51.376574496	-114.354961272	1226.3	0.0			
T	2020-09-09 18:25:47	51.376571227	-114.355707178	1219.1	0.0			
T	2020-09-09 18:25:58	51.376589248	-114.356439672	1213.8	0.0			
T	2020-09-09 18:26:11	51.376594026	-114.357197480	1208.0	0.0			
T	2020-09-09 18:26:46	51.376423538	-114.357734509	1207.5	0.0			
T	2020-09-09 18:27:00	51.375972424	-114.357825788	1208.0	0.0			
T	2020-09-09 18:27:15	51.375520891	-114.357950846	1206.1	0.0			
T	2020-09-09 18:27:37	51.375128534	-114.358219569	1205.2	0.0			
T	2020-09-09 18:27:57	51.374771129	-114.357986134	1205.6	0.0			
T	2020-09-09 18:28:17	51.375063909	-114.357784381	1207.1	0.0			
T	2020-09-09 18:30:34	51.375118727	-114.357843306	1205.6	0.0			
T	2020-09-09 18:30:50	51.374891410	-114.357265206	1207.1	0.0			
T	2020-09-09 18:31:04	51.374845980	-114.356493233	1210.4	0.0			
T	2020-09-09 18:31:17	51.374804825	-114.355755961	1212.8	0.0			
T	2020-09-09 18:31:34	51.374752689	-114.355022628	1217.2	0.0			
T	2020-09-09 18:31:50	51.374712121	-114.354277393	1221.5	0.0			
T	2020-09-09 18:32:04	51.374673229	-114.353534840	1227.3	0.0			
T	2020-09-09 18:32:17	51.375106405	-114.353435682	1228.2	0.0			
T	2020-09-09 18:32:28	51.375600100	-114.353444986	1231.1	0.0			
T	2020-09-09 18:32:39	51.376087507	-114.353454122	1232.5	0.0			
T	2020-09-09 18:32:51	51.376542728	-114.353446830	1234.0	0.0			
T	2020-09-09 18:33:07	51.376058757	-114.353414727	1232.1	0.0			
T	2020-09-09 18:33:19	51.375582162	-114.353422355	1232.1	0.0			
T	2020-09-09 18:33:31	51.375114452	-114.353418583	1230.1	0.0			
T	2020-09-09 18:33:44	51.374635091	-114.353420762	1232.5	0.0			
T	2020-09-09 18:33:56	51.374186492	-114.353424786	1232.5	0.0			
T	2020-09-09 18:34:08	51.373737557	-114.353413051	1231.1	0.0			
T	2020-09-09 18:34:19	51.373285186	-114.353420595	1229.7	0.0			
T	2020-09-09 18:34:45	51.372997770	-114.353085235	1230.1	0.0			
T	2020-09-09 18:35:01	51.372989891	-114.352350729	1236.4	0.0			
T	2020-09-09 18:35:16	51.372990729	-114.351595519	1241.7	0.0			
T	2020-09-09 18:35:28	51.372996094	-114.350857073	1244.6	0.0			
T	2020-09-09 18:35:40	51.372993160	-114.350122232	1245.0	0.0			
T	2020-09-09 18:35:52	51.372991735	-114.349379176	1247.0	0.0			
T	2020-09-09 18:36:03	51.372993914	-114.348625476	1246.5	0.0			
T	2020-09-09 18:36:20	51.373296585	-114.348339485	1247.0	0.0			
T	2020-09-09 18:36:31	51.373774437	-114.348324398	1242.6	0.0			
T	2020-09-09 18:36:44	51.374221277	-114.348338312	1241.2	0.0			
T	2020-09-09 18:36:57	51.374672307	-114.348274777	1241.7	0.0			
T	2020-09-09 18:37:07	51.375156781	-114.348251894	1241.7	0.0			
T	2020-09-09 18:37:15	51.375610996	-114.348237561	1241.2	0.0			
T	2020-09-09 18:37:24	51.376078622	-114.348232532	1241.2	0.0			
T	2020-09-09 18:37:34	51.376540298	-114.348208979	1240.2	0.0			
T	2020-09-09 18:37:44	51.377030723	-114.348178636	1238.3	0.0			
T	2020-09-09 18:37:54	51.377480663	-114.348163968	1235.9	0.0			
T	2020-09-09 18:38:04	51.377946865	-114.348124489	1231.1	0.0			
T	2020-09-09 18:38:13	51.378421700	-114.348110324	1225.3	0.0			
T	2020-09-09 18:38:24	51.378908521	-114.348083837	1219.1	0.0			
T	2020-09-09 18:38:34	51.379390145	-114.348060535	1213.3	0.0			
T	2020-09-09 18:38:45	51.379833380	-114.348028516	1209.5	0.0			
T	2020-09-09 18:38:55	51.380296648	-114.348014854	1205.2	0.0			
T	2020-09-09 18:39:51	51.380561683	-114.347913014	1207.5	0.0			
T	2020-09-09 18:40:04	51.380106378	-114.347969592	1209.0	0.0			
T	2020-09-09 18:40:14	51.379638501	-114.347997671	1212.8	0.0			
T	2020-09-09 18:40:23	51.379132988	-114.348020554	1217.7	0.0			
T	2020-09-09 18:40:32	51.378638036	-114.348042095	1221.0	0.0			
T	2020-09-09 18:40:42	51.378172003	-114.348066151	1223.9	0.0			
T	2020-09-09 18:40:52	51.377678728	-114.348090710	1230.1	0.0			
T	2020-09-09 18:41:01	51.377226189	-114.348118287	1237.3	0.0			
T	2020-09-09 18:41:10	51.376777170	-114.348133961	1240.7	0.0			
T	2020-09-09 18:41:20	51.376298396	-114.348156089	1242.6	0.0			
T	2020-09-09 18:41:29	51.375822555	-114.348176289	1244.1	0.0			
T	2020-09-09 18:41:38	51.375329364	-114.348202106	1243.6	0.0			
T	2020-09-09 18:41:47	51.374834245	-114.348212248	1244.1	0.0			
T	2020-09-09 18:41:56	51.374375252	-114.348234208	1244.1	0.0			
T	2020-09-09 18:42:05	51.373914750	-114.348244434	1243.1	0.0			
T	2020-09-09 18:42:14	51.373447795	-114.348271759	1244.1	0.0			
T	2020-09-09 18:42:26	51.372999111	-114.348202944	1248.4	0.0			
T	2020-09-09 18:42:38	51.372992322	-114.347431976	1245.5	0.0			
T	2020-09-09 18:42:48	51.372996848	-114.346700320	1241.7	0.0			
T	2020-09-09 18:42:58	51.373001961	-114.345979728	1240.7	0.0			
T	2020-09-09 18:43:08	51.373002632	-114.345246982	1240.7	0.0			
T	2020-09-09 18:43:19	51.373003218	-114.344487749	1238.3	0.0			
T	2020-09-09 18:43:29	51.373002883	-114.343723152	1235.9	0.0			
T	2020-09-09 18:43:40	51.373003135	-114.342961740	1235.0	0.0			
T	2020-09-09 18:43:53	51.373001123	-114.342201920	1232.5	0.0			
T	2020-09-09 18:44:11	51.373114278	-114.341592221	1234.0	0.0			
T	2020-09-09 18:44:30	51.373590035	-114.341595573	1234.0	0.0			
T	2020-09-09 18:44:45	51.374040144	-114.341596076	1235.0	0.0			
T	2020-09-09 18:45:00	51.374493856	-114.341664975	1231.6	0.0			
T	2020-09-09 18:45:15	51.374963745	-114.341587778	1232.5	0.0			
T	2020-09-09 18:45:46	51.375399604	-114.341628514	1235.9	0.0			
T	2020-09-09 18:46:09	51.375860442	-114.341593394	1235.4	0.0			
T	2020-09-09 18:46:29	51.376310969	-114.341630274	1233.5	0.0			
T	2020-09-09 18:46:47	51.376774572	-114.341637064	1231.6	0.0			
T	2020-09-09 18:47:05	51.377235660	-114.341650140	1231.1	0.0			
