Collar_On,Collar_Off,Collar_ID,Bull_ID
2020-06-18 10:37,2020-07-20 15:53,80379,5175
2020-07-13 16:33,2020-09-20 8:14,80378,5175
2020-06-18 13:40,2020-07-13 16:38,80383,32
2020-07-13 23:59,2020-07-29 23:59,80382,32
2020-06-18 14:48,2020-07-13 9:51,80384,82
2020-07-13 10:30,2020-09-20 8:50,80384,82
2020-06-18 11:30,2020-07-13 14:03,80380,143
2020-07-13 15:14,2020-09-20 8:19,80380,143
2020-06-18 13:19,2020-07-13 13:53,80382,453
2020-06-18 16:19,2020-07-13 15:16,80391,934
2020-07-13 15:47,2020-09-20 9:03,80391,934
2020-06-18 16:14,2020-07-13 13:18,80390,941
2020-07-13 13:50,2020-09-20 8:01,80390,941
2020-06-18 13:02,2020-07-13 11:55,80381,6035
2020-07-13 13:17,2020-09-20 8:40,80381,6035
2020-06-18 14:48,2020-07-13 10:31,80387,7245
2020-07-13 11:06,2020-07-29 23:59,80387,7245
2020-06-18 15:34,2020-07-13 9:18,80389,8172
2020-07-13 9:50,2020-09-20 8:19,80389,8172
2020-06-18 13:53,2020-07-13 8:36,80386,8239
2020-07-13 9:15,2020-09-20 8:45,80386,8239
2020-06-18 15:00,2020-07-13 7:56,80388,8267
2020-07-13 8:33,2020-08-18 23:59,80388,8267
2020-06-18 13:36,2020-07-13 11:16,80385,8294
2020-07-13 11:40,2020-09-20 8:07,80385,8294
