Product Type: Litetrack LR
Product ID: 80379
Firmware Version: V8.99.0

GMT Time,Latitude,Longitude,Altitude,Duration,Temperature,DOP,Satellites,Cause of Fix
2020-06-18 4:42:51 PM,51.4137528,-114.3274516,1132.95,40,11.0,1,6,GPS Schedule
2020-06-18 4:45:11 PM,51.4137224,-114.3274339,1133.09,12,11.0,1,6,GPS Schedule
2020-06-18 4:50:02 PM,51.4134760,-114.3274202,1133.23,3,12.0,1,6,GPS Schedule
2020-06-18 4:55:00 PM,51.4134717,-114.3279471,1131.05,1,13.0,3.2,5,GPS Schedule
2020-06-18 5:00:00 PM,51.4132395,-114.3279293,1103.05,1,14.0,2.8,5,GPS Schedule
2020-06-18 5:05:03 PM,51.4134215,-114.3278317,1125.27,4,14.5,2.6,5,GPS Schedule
2020-06-18 5:10:03 PM,51.4134947,-114.3277794,1132.84,4,14.5,2.4,5,GPS Schedule
2020-06-18 5:15:00 PM,51.4133688,-114.3278769,1118.44,1,14.5,2.2,5,GPS Schedule
2020-06-18 5:20:04 PM,51.4134344,-114.3279543,1127.97,5,15.0,2,5,GPS Schedule
2020-06-18 5:25:02 PM,51.4133969,-114.3278985,1128.73,3,15.0,2,5,GPS Schedule
2020-06-18 5:31:05 PM,51.4133631,-114.3277725,1131.74,66,16.0,1.6,5,GPS Schedule
2020-06-18 5:32:22 PM,51.4134466,-114.3278925,1137.12,1,16.0,1.8,4,Proximity GPS Schedule
2020-06-18 5:35:35 PM,51.4133860,-114.3278938,1132.26,36,16.0,1,8,GPS Schedule
2020-06-18 5:39:59 PM,51.4134868,-114.3279200,1147.62,0,16.0,1,8,GPS Schedule
2020-06-18 5:44:59 PM,51.4134549,-114.3278579,1131.26,0,16.0,1,7,GPS Schedule
2020-06-18 5:49:59 PM,51.4134515,-114.3277083,1144.35,0,16.5,1,8,GPS Schedule
2020-06-18 5:54:59 PM,51.4134513,-114.3277822,1153.33,0,16.5,1.6,6,GPS Schedule
2020-06-18 6:00:00 PM,51.4134229,-114.3278760,1141.78,1,17.0,1,8,GPS Schedule
2020-06-18 6:05:01 PM,51.4134280,-114.3278592,1131.09,2,17.0,1.2,7,GPS Schedule
2020-06-18 6:09:59 PM,51.4133921,-114.3277108,1143.23,0,17.5,1.2,6,GPS Schedule
2020-06-18 6:14:59 PM,51.4135020,-114.3278956,1116.84,0,17.0,1.2,6,GPS Schedule
2020-06-18 6:19:59 PM,51.4134349,-114.3277298,1148.39,0,17.0,1.2,6,GPS Schedule
2020-06-18 6:24:59 PM,51.4132686,-114.3274202,1104.31,0,16.5,4.2,5,GPS Schedule
2020-06-18 6:29:59 PM,51.4134049,-114.3276183,1156.17,0,16.5,3.8,5,GPS Schedule
2020-06-18 6:35:02 PM,51.4134431,-114.3278735,1137.43,3,16.5,3.6,5,GPS Schedule
2020-06-18 6:41:10 PM,51.4136133,-114.3281247,1106.97,70,17.5,9.6,4,GPS Schedule
2020-06-18 6:45:35 PM,51.4134476,-114.3278723,1134.47,36,17.5,1.4,7,GPS Schedule
2020-06-18 6:50:00 PM,51.4134232,-114.3280587,1112.32,1,17.0,1.6,6,GPS Schedule
2020-06-18 6:55:00 PM,51.4137349,-114.3280022,1123.03,1,16.5,1.6,6,GPS Schedule
2020-06-18 7:00:00 PM,51.4135356,-114.3279019,1139.45,1,16.5,1.8,6,GPS Schedule
2020-06-18 7:05:00 PM,51.4135929,-114.3279121,1121.56,1,16.5,2,6,GPS Schedule
2020-06-18 7:10:00 PM,51.4135003,-114.3278208,1123.39,1,17.0,2.2,6,GPS Schedule
2020-06-18 7:14:59 PM,51.4133358,-114.3277155,1130.33,0,17.0,2.4,6,GPS Schedule
2020-06-18 7:19:59 PM,51.4132789,-114.3277221,1159.68,0,17.5,3.4,5,GPS Schedule
2020-06-18 7:25:00 PM,51.4133911,-114.3277725,1135.64,1,17.5,4,4,GPS Schedule
2020-06-18 7:30:35 PM,51.4133960,-114.3278296,1133.93,36,17.5,1,8,GPS Schedule
2020-06-18 7:34:59 PM,51.4136164,-114.3277675,1152.74,0,17.0,1.8,5,GPS Schedule
2020-06-18 7:39:59 PM,51.4133755,-114.3278368,1133.19,0,17.0,1,8,GPS Schedule
2020-06-18 7:44:59 PM,51.4135134,-114.3278757,1135.02,0,17.5,1.2,7,GPS Schedule
2020-06-18 7:49:59 PM,51.4134307,-114.3277139,1120.61,0,17.5,1.2,7,GPS Schedule
2020-06-18 7:54:59 PM,51.4134453,-114.3279238,1152.58,0,17.5,2.4,6,GPS Schedule
2020-06-18 7:59:59 PM,51.4135614,-114.3279471,1143.56,0,17.5,1.6,7,GPS Schedule
2020-06-18 8:04:59 PM,51.4134136,-114.3277248,1131.09,0,17.5,1,8,GPS Schedule
2020-06-18 8:10:00 PM,51.4134517,-114.3278757,1126.43,1,17.5,1.6,6,GPS Schedule
2020-06-18 8:15:01 PM,51.4134350,-114.3277865,1126.63,2,17.0,1,8,GPS Schedule
2020-06-18 8:19:59 PM,51.4134132,-114.3278124,1105.54,0,17.0,1.2,6,GPS Schedule
2020-06-18 8:24:59 PM,51.4134903,-114.3278913,1139.63,1,17.0,1,8,GPS Schedule
2020-06-18 8:29:59 PM,51.4135369,-114.3277248,1148.29,0,17.0,1.4,5,GPS Schedule
2020-06-18 8:34:59 PM,51.4138219,-114.3262734,1102.51,0,17.5,2,6,GPS Schedule
2020-06-18 8:39:59 PM,51.4139479,-114.3265630,1083.65,0,17.5,1.8,6,GPS Schedule
2020-06-18 8:44:59 PM,51.4143402,-114.3266333,1082.09,0,17.5,1.8,5,GPS Schedule
2020-06-18 8:50:00 PM,51.4141980,-114.3267818,1119.02,1,17.0,1.6,6,GPS Schedule
2020-06-18 8:54:59 PM,51.4142454,-114.3269381,1149.35,0,17.0,1.2,7,GPS Schedule
2020-06-18 8:59:59 PM,51.4141200,-114.3269571,1131.06,0,16.5,1.4,6,GPS Schedule
2020-06-18 9:04:59 PM,51.4142225,-114.3269149,1116.84,0,17.0,1.2,6,GPS Schedule
2020-06-18 9:09:59 PM,51.4141496,-114.3269689,1132.27,0,17.0,1.6,5,GPS Schedule
2020-06-18 9:15:00 PM,51.4141348,-114.3265287,1122.07,1,17.0,2.2,5,GPS Schedule
2020-06-18 9:19:59 PM,51.4142273,-114.3264112,1148.40,0,16.5,1,6,GPS Schedule
2020-06-18 9:24:59 PM,51.4142995,-114.3267662,1125.35,0,16.5,2.4,5,GPS Schedule
2020-06-18 9:30:00 PM,51.4141369,-114.3264205,1125.72,1,16.5,1.2,6,GPS Schedule
2020-06-18 9:35:33 PM,51.4141827,-114.3268891,1129.33,34,17.5,1.8,6,GPS Schedule
2020-06-18 9:40:13 PM,51.4141870,-114.3270247,1131.50,14,17.5,1.8,6,GPS Schedule
2020-06-18 9:45:03 PM,51.4142292,-114.3267641,1127.76,4,17.0,1.8,6,GPS Schedule
2020-06-18 9:50:01 PM,51.4142833,-114.3262942,1134.47,2,17.0,2.4,5,GPS Schedule
2020-06-18 9:54:59 PM,51.4142016,-114.3273993,1192.90,0,17.0,3.6,5,GPS Schedule
2020-06-18 9:59:59 PM,51.4141902,-114.3269025,1150.41,0,17.0,1.8,6,GPS Schedule
2020-06-18 10:05:04 PM,51.4142433,-114.3269508,1130.34,5,17.0,1.8,6,GPS Schedule
2020-06-18 10:10:00 PM,51.4142147,-114.3269187,1126.49,1,17.0,2,5,GPS Schedule
2020-06-18 10:15:06 PM,51.4142667,-114.3269305,1130.82,7,17.0,2,5,GPS Schedule
2020-06-18 10:20:00 PM,51.4142336,-114.3270995,1131.21,1,17.0,4,4,GPS Schedule
2020-06-18 10:25:35 PM,51.4141500,-114.3268274,1132.23,36,17.5,2,5,GPS Schedule
2020-06-18 10:29:59 PM,51.4141034,-114.3268417,1129.97,0,17.5,2,5,GPS Schedule
2020-06-18 10:34:59 PM,51.4141554,-114.3266952,1122.79,0,17.5,2,5,GPS Schedule
2020-06-18 10:40:00 PM,51.4142263,-114.3267771,1128.01,1,17.5,2.2,4,GPS Schedule
2020-06-18 10:45:35 PM,51.4141881,-114.3267154,1130.13,35,18.5,0.8,9,GPS Schedule
2020-06-18 10:49:59 PM,51.4141335,-114.3267120,1131.14,0,19.0,1,7,GPS Schedule
2020-06-18 10:54:59 PM,51.4143032,-114.3267113,1116.07,0,19.0,1.2,7,GPS Schedule
2020-06-18 10:59:59 PM,51.4142754,-114.3266914,1128.77,0,19.0,1,9,GPS Schedule
2020-06-18 11:04:59 PM,51.4141342,-114.3268485,1117.01,0,19.5,1,9,GPS Schedule
2020-06-18 11:09:59 PM,51.4141887,-114.3267475,1130.07,1,20.0,1.2,8,GPS Schedule
2020-06-18 11:14:59 PM,51.4141885,-114.3268215,1139.05,0,20.5,1,9,GPS Schedule
2020-06-18 11:19:59 PM,51.4141810,-114.3267251,1138.43,0,21.5,1.2,7,GPS Schedule
2020-06-18 11:24:59 PM,51.4142699,-114.3267067,1116.47,0,21.5,1,8,GPS Schedule
2020-06-18 11:30:01 PM,51.4142127,-114.3267594,1130.50,2,21.0,1.2,8,GPS Schedule
2020-06-18 11:34:59 PM,51.4142699,-114.3267192,1152.29,0,20.5,1.2,8,GPS Schedule
2020-06-18 11:39:59 PM,51.4142369,-114.3267450,1129.63,1,20.5,1.2,8,GPS Schedule
2020-06-18 11:44:59 PM,51.4137999,-114.3265793,1109.59,0,20.0,2.4,5,GPS Schedule
2020-06-18 11:49:59 PM,51.4139050,-114.3263414,1124.56,1,19.5,1.2,8,GPS Schedule
2020-06-18 11:54:59 PM,51.4139413,-114.3263545,1130.29,0,19.0,2.6,5,GPS Schedule
2020-06-18 11:59:59 PM,51.4140408,-114.3264209,1131.69,0,19.0,1.2,7,GPS Schedule
2020-06-19 12:05:00 AM,51.4138857,-114.3272814,1142.90,0,18.5,1,8,GPS Schedule
2020-06-19 12:09:59 AM,51.4141022,-114.3271772,1132.64,0,18.5,1.4,6,GPS Schedule
2020-06-19 12:14:59 AM,51.4139724,-114.3270254,1140.32,0,19.0,2.4,5,GPS Schedule
2020-06-19 12:20:02 AM,51.4140387,-114.3272392,1135.72,3,18.5,1.4,6,GPS Schedule
2020-06-19 12:24:59 AM,51.4140702,-114.3272583,1139.31,0,18.0,1,7,GPS Schedule
2020-06-19 12:29:59 AM,51.4138633,-114.3271293,1146.17,0,18.0,1,7,GPS Schedule
2020-06-19 12:35:02 AM,51.4140457,-114.3271666,1131.26,1,18.0,2.2,6,GPS Schedule
2020-06-19 12:39:59 AM,51.4140803,-114.3272984,1126.91,0,18.0,1.8,5,GPS Schedule
2020-06-19 12:44:59 AM,51.4142048,-114.3272105,1150.39,0,17.5,2,5,GPS Schedule
2020-06-19 12:51:03 AM,51.4139443,-114.3270039,1130.03,64,18.5,3.4,5,GPS Schedule
2020-06-19 12:54:59 AM,51.4140775,-114.3271809,1139.95,0,18.0,3.6,5,GPS Schedule
2020-06-19 12:59:59 AM,51.4138350,-114.3272923,1148.69,0,18.0,3.8,5,GPS Schedule
2020-06-19 1:05:00 AM,51.4140323,-114.3272333,1136.28,1,18.0,3.8,4,GPS Schedule
2020-06-19 1:10:33 AM,51.4139539,-114.3271442,1127.89,34,18.5,6.4,5,GPS Schedule
2020-06-19 1:15:10 AM,51.4139960,-114.3271725,1122.88,11,18.5,7.8,5,GPS Schedule
2020-06-19 1:20:12 AM,51.4139697,-114.3272473,1112.42,13,19.0,3,5,GPS Schedule
2020-06-19 1:24:59 AM,51.4143849,-114.3268771,1215.00,0,19.0,3,5,GPS Schedule
