Start,Stop,Proximity,Session,RSSI
2020-07-13 22:19,2020-07-13 22:19,30378,0,-63
2020-07-13 22:21,2020-07-13 22:22,30378,67,-40
2020-07-13 22:23,2020-07-13 22:24,30378,49,43
2020-07-13 22:26,2020-07-13 22:27,30378,39,-18
2020-07-13 22:28,2020-07-13 22:28,30378,9,-48
2020-07-13 22:31,2020-07-13 22:33,30378,162,-72
2020-08-04 19:31,2020-08-04 19:31,30387,0,-79
2020-08-04 19:32,2020-08-04 19:34,30387,148,-70
2020-08-04 19:32,2020-08-04 19:34,30382,148,-60
2020-08-04 20:06,2020-08-04 20:06,30382,0,-66
2020-08-04 22:24,2020-08-04 22:24,30387,0,-37
2020-08-04 23:24,2020-08-04 23:24,30387,0,-37
2020-08-04 23:26,2020-08-04 23:26,30387,0,-37
2020-08-04 23:29,2020-08-04 23:29,30387,0,-37
2020-08-05 0:07,2020-08-05 0:07,30387,0,-38
2020-08-05 0:08,2020-08-05 0:08,30387,21,-38
2020-08-05 0:08,2020-08-05 0:08,30382,21,-39
2020-08-05 0:13,2020-08-05 0:13,30382,0,-40
2020-08-05 0:18,2020-08-05 0:18,30387,0,-37
2020-08-05 0:19,2020-08-05 0:19,30382,0,-39
2020-08-05 0:22,2020-08-05 0:22,30387,0,-37
2020-08-05 0:23,2020-08-05 0:23,30382,0,-39
2020-08-05 0:28,2020-08-05 0:28,30382,0,-39
2020-08-05 0:31,2020-08-05 0:31,30382,0,-39
2020-08-05 0:34,2020-08-05 0:34,30387,0,-37
2020-08-05 0:37,2020-08-05 0:37,30387,0,-37
2020-08-05 0:38,2020-08-05 0:38,30382,0,-39
2020-08-05 0:39,2020-08-05 0:39,30387,0,-37
2020-08-05 0:42,2020-08-05 0:42,30387,0,-37
2020-08-05 0:43,2020-08-05 0:43,30382,0,-39
2020-08-05 0:49,2020-08-05 0:49,30387,0,-38
2020-08-05 0:49,2020-08-05 0:49,30387,0,-37
2020-08-05 0:53,2020-08-05 0:53,30382,0,-39
2020-08-05 0:54,2020-08-05 0:54,30387,0,-37
2020-08-05 0:57,2020-08-05 0:57,30387,0,-37
2020-08-05 0:57,2020-08-05 0:57,30382,0,-39
2020-08-05 1:01,2020-08-05 1:01,30387,0,-38
2020-08-05 1:01,2020-08-05 1:01,30382,0,-39
2020-08-05 1:04,2020-08-05 1:04,30387,0,-37
2020-08-05 1:06,2020-08-05 1:06,30387,0,-37
2020-08-05 1:06,2020-08-05 1:06,30387,0,-37
2020-08-05 1:12,2020-08-05 1:12,30382,0,-39
2020-08-05 1:33,2020-08-05 1:33,30387,0,-37
2020-08-05 1:38,2020-08-05 1:38,30387,0,-37
2020-08-05 1:41,2020-08-05 1:41,30387,0,-37
2020-08-05 1:41,2020-08-05 1:41,30382,0,-39
2020-08-05 1:42,2020-08-05 1:42,30382,0,-39
2020-08-05 1:43,2020-08-05 1:43,30387,0,-37
2020-08-05 1:43,2020-08-05 1:43,30382,12,-39
2020-08-05 1:47,2020-08-05 1:47,30382,0,-39
2020-08-05 1:49,2020-08-05 1:49,30387,0,-37
2020-08-05 1:54,2020-08-05 1:54,30387,0,-37
2020-08-05 1:56,2020-08-05 1:56,30382,0,-39
2020-08-05 1:57,2020-08-05 1:59,30382,150,-39
2020-08-05 1:57,2020-08-05 1:59,30387,136,-38
2020-08-05 8:39,2020-08-05 8:39,30387,0,-37
2020-08-05 8:41,2020-08-05 8:44,30387,218,-38
2020-08-05 8:41,2020-08-05 8:44,30382,223,-40
2020-08-05 8:46,2020-08-05 8:49,30387,221,-38
2020-08-05 8:46,2020-08-05 8:49,30382,223,-40
2020-08-05 8:51,2020-08-05 8:54,30387,220,-37
2020-08-05 8:51,2020-08-05 8:54,30382,224,-40
2020-08-05 8:56,2020-08-05 8:59,30382,223,-40
2020-08-05 8:56,2020-08-05 8:59,30387,217,-38
2020-08-05 9:01,2020-08-05 9:04,30387,220,-37
2020-08-05 9:01,2020-08-05 9:04,30382,223,-40
2020-08-05 9:06,2020-08-05 9:08,30382,127,-40
2020-08-05 9:06,2020-08-05 9:08,30387,123,-38
2020-08-05 15:09,2020-08-05 15:09,30387,0,-45
2020-08-05 15:12,2020-08-05 15:12,30382,0,-43
2020-08-05 15:34,2020-08-05 15:34,30382,0,-44
2020-08-05 15:42,2020-08-05 15:42,30387,0,-44
2020-08-05 15:43,2020-08-05 15:43,30382,0,-43
2020-08-05 15:43,2020-08-05 15:43,30387,0,-44
2020-08-05 16:14,2020-08-05 16:14,30382,0,-43
2020-08-05 16:19,2020-08-05 16:19,30382,0,-43
