GMT,MST,Date,Time,Latitude,Longitude,Altitude,Duration,Temperature,DOP,Satellites,Fix
2020-07-13 14:36,2020-07-13 8:36,2020-07-13,8:36:11,51.415432,-114.3284546,925.02,70,13,4.2,4,GPS Schedule
2020-07-13 14:41,2020-07-13 8:41,2020-07-13,8:41:05,51.4137925,-114.3277449,1112.8,63,13.5,3.2,5,GPS Schedule
2020-07-13 14:45,2020-07-13 8:45,2020-07-13,8:45:03,51.4130665,-114.3272275,1205.41,1,13.5,20,5,GPS Schedule
2020-07-13 14:50,2020-07-13 8:50,2020-07-13,8:50:09,51.4132347,-114.3272779,1189.19,7,13.5,3.4,5,GPS Schedule
2020-07-13 14:56,2020-07-13 8:56,2020-07-13,8:56:05,51.413579,-114.3275948,1131.76,63,14,3.4,5,GPS Schedule
2020-07-13 15:00,2020-07-13 9:00,2020-07-13,9:00:02,51.4136059,-114.3276979,1117.85,0,13,3.2,5,GPS Schedule
2020-07-13 15:05,2020-07-13 9:05,2020-07-13,9:05:04,51.4137905,-114.3275505,1144.96,2,13.5,3.2,5,GPS Schedule
2020-07-13 15:10,2020-07-13 9:10,2020-07-13,9:10:05,51.4136337,-114.3279654,1114.1,3,13.5,4,5,GPS Schedule
2020-07-13 15:16,2020-07-13 9:16,2020-07-13,9:16:03,51.413671,-114.3274541,1128.7,61,14.5,1.4,7,GPS Schedule
2020-07-13 15:20,2020-07-13 9:20,2020-07-13,9:20:02,51.4140444,-114.3273085,1150.56,0,14,2.8,6,GPS Schedule
2020-07-13 15:25,2020-07-13 9:25,2020-07-13,9:25:02,51.4138797,-114.3273752,1134.48,0,14,4,5,GPS Schedule
2020-07-13 15:27,2020-07-13 9:27,2020-07-13,9:27:20,51.4139735,-114.3279026,1110.81,0,13.5,4,5,Proximity GPS Schedule
2020-07-13 15:30,2020-07-13 9:30,2020-07-13,9:30:07,51.4138115,-114.3276305,1100.88,5,14,2.4,6,GPS Schedule
2020-07-13 15:35,2020-07-13 9:35,2020-07-13,9:35:04,51.41348,-114.3275605,1130.31,2,14.5,2.2,5,GPS Schedule
2020-07-13 15:40,2020-07-13 9:40,2020-07-13,9:40:07,51.4135736,-114.3276793,1133.51,5,15,2,6,GPS Schedule
2020-07-13 15:45,2020-07-13 9:45,2020-07-13,9:45:02,51.4134556,-114.3274904,1128.64,0,15.5,4.4,5,GPS Schedule
2020-07-13 15:50,2020-07-13 9:50,2020-07-13,9:50:02,51.4136978,-114.3273899,1132.72,0,17,1.8,5,GPS Schedule
2020-07-13 15:55,2020-07-13 9:55,2020-07-13,9:55:02,51.4137266,-114.3274787,1114.82,0,17.5,1.6,5,GPS Schedule
2020-07-13 16:00,2020-07-13 10:00,2020-07-13,10:00:07,51.4138607,-114.3274834,1128.49,5,17.5,1.6,5,GPS Schedule
2020-07-13 16:05,2020-07-13 10:05,2020-07-13,10:05:07,51.4136389,-114.3275614,1136.67,5,17.5,1.6,4,GPS Schedule
2020-07-13 16:10,2020-07-13 10:10,2020-07-13,10:10:07,51.413853,-114.3275978,1141.97,5,17.5,1.4,5,GPS Schedule
2020-07-13 16:15,2020-07-13 10:15,2020-07-13,10:15:09,51.41383,-114.3276287,1135.05,7,17,1.4,5,GPS Schedule
2020-07-13 16:20,2020-07-13 10:20,2020-07-13,10:20:06,51.4137363,-114.3276468,1136.98,4,17,1.4,4,GPS Schedule
2020-07-13 16:25,2020-07-13 10:25,2020-07-13,10:25:58,51.4139374,-114.3273745,1103.77,56,17.5,1.8,5,GPS Schedule
2020-07-13 16:30,2020-07-13 10:30,2020-07-13,10:30:03,51.413928,-114.3272421,1146.82,1,17.5,1.8,5,GPS Schedule
2020-07-13 16:35,2020-07-13 10:35,2020-07-13,10:35:03,51.4142702,-114.326404,1152.26,2,17.5,2,5,GPS Schedule
2020-07-13 16:40,2020-07-13 10:40,2020-07-13,10:40:03,51.4141032,-114.3264053,1132.55,1,17.5,2.2,5,GPS Schedule
2020-07-13 16:45,2020-07-13 10:45,2020-07-13,10:45:06,51.4139022,-114.3264237,1138.88,4,18.5,7.4,4,GPS Schedule
2020-07-13 16:50,2020-07-13 10:50,2020-07-13,10:50:35,51.4140705,-114.3263913,1143.13,33,19.5,2,5,GPS Schedule
2020-07-13 16:55,2020-07-13 10:55,2020-07-13,10:55:03,51.4140812,-114.3263807,1151.13,1,20,1.8,5,GPS Schedule
2020-07-13 17:00,2020-07-13 11:00,2020-07-13,11:00:02,51.4141576,-114.3264286,1114.93,0,20.5,1.8,5,GPS Schedule
2020-07-13 17:05,2020-07-13 11:05,2020-07-13,11:05:04,51.4139722,-114.3273343,1122.43,2,21,1.8,5,GPS Schedule
2020-07-13 17:11,2020-07-13 11:11,2020-07-13,11:11:10,0,0,0,70,22,0,0,GPS Schedule
2020-07-13 17:16,2020-07-13 11:16,2020-07-13,11:16:10,0,0,0,70,22.5,0,0,GPS Schedule
2020-07-13 17:21,2020-07-13 11:21,2020-07-13,11:21:10,0,0,0,70,22,0,0,GPS Schedule
2020-07-13 17:25,2020-07-13 11:25,2020-07-13,11:25:38,51.4140679,-114.3264349,1120.33,36,22,2.2,6,GPS Schedule
2020-07-13 17:30,2020-07-13 11:30,2020-07-13,11:30:13,51.4141567,-114.3262831,1158.5,11,21.5,1.2,7,GPS Schedule
2020-07-13 17:35,2020-07-13 11:35,2020-07-13,11:35:02,51.4141788,-114.3263167,1110.48,0,22,2.6,5,GPS Schedule
2020-07-13 17:40,2020-07-13 11:40,2020-07-13,11:40:18,51.4141483,-114.3264006,1143.89,16,21.5,1.4,5,GPS Schedule
2020-07-13 17:45,2020-07-13 11:45,2020-07-13,11:45:40,51.4139793,-114.3262903,1135.87,38,22.5,4.2,3,GPS Schedule
2020-07-13 17:50,2020-07-13 11:50,2020-07-13,11:50:29,51.4140592,-114.326322,1127.5,27,22.5,1.4,7,GPS Schedule
2020-07-13 17:55,2020-07-13 11:55,2020-07-13,11:55:03,51.4140314,-114.3264065,1126.13,1,22,2.8,4,GPS Schedule
2020-07-13 18:01,2020-07-13 12:01,2020-07-13,12:01:03,51.4139631,-114.3261577,1104.05,61,23,2.6,5,GPS Schedule
2020-07-13 18:05,2020-07-13 12:05,2020-07-13,12:05:02,51.4141034,-114.3265375,1142.77,0,22,2.8,5,GPS Schedule
2020-07-13 18:10,2020-07-13 12:10,2020-07-13,12:10:03,51.4139712,-114.3270026,1130.2,1,22,3,5,GPS Schedule
2020-07-13 18:15,2020-07-13 12:15,2020-07-13,12:15:04,51.4141091,-114.3264006,1138.42,2,22.5,3.2,5,GPS Schedule
2020-07-13 18:20,2020-07-13 12:20,2020-07-13,12:20:02,51.4140896,-114.326375,1099.22,0,22,3.2,5,GPS Schedule
2020-07-13 18:25,2020-07-13 12:25,2020-07-13,12:25:02,51.4139787,-114.3264932,1109.06,0,22.5,3.2,5,GPS Schedule
2020-07-13 18:30,2020-07-13 12:30,2020-07-13,12:30:02,51.4143131,-114.3263554,1166.36,0,22.5,3,5,GPS Schedule
2020-07-13 18:35,2020-07-13 12:35,2020-07-13,12:35:06,51.4141178,-114.3264657,1123.57,4,21.5,2.8,5,GPS Schedule
2020-07-13 18:40,2020-07-13 12:40,2020-07-13,12:40:02,51.4140509,-114.3264196,1129.51,0,22,2.6,5,GPS Schedule
2020-07-13 18:45,2020-07-13 12:45,2020-07-13,12:45:03,51.4141359,-114.3264885,1136.04,1,21.5,2.4,5,GPS Schedule
2020-07-13 18:50,2020-07-13 12:50,2020-07-13,12:50:03,51.4141524,-114.3264455,1125.62,1,22,2.2,5,GPS Schedule
