Product Type: Litetrack LR
Product ID: 80378
Firmware Version: V8.99.0

Start Time [GMT],Stop Time [GMT],Proximity ID,Session Time [s],Average RSSI [dBm]
2020-07-13 8:12:18 PM,2020-07-13 8:12:18 PM,30380,0,-70
2020-07-13 8:19:12 PM,2020-07-13 8:19:15 PM,30380,3,63
2020-07-13 9:21:12 PM,2020-07-13 9:21:12 PM,30391,0,-71
2020-07-13 9:22:25 PM,2020-07-13 9:22:40 PM,30391,15,-62
2020-07-13 10:21:24 PM,2020-07-13 10:22:32 PM,30379,68,-20
2020-07-13 10:26:17 PM,2020-07-13 10:26:59 PM,30379,42,-47
2020-07-13 10:28:19 PM,2020-07-13 10:28:38 PM,30379,19,-14
2020-07-13 10:29:02 PM,2020-07-13 10:29:02 PM,30379,0,-40
2020-07-13 10:29:36 PM,2020-07-13 10:29:36 PM,30379,0,-43
2020-07-13 10:31:13 PM,2020-07-13 10:33:53 PM,30379,160,-71
2020-07-13 10:43:49 PM,2020-07-13 10:43:55 PM,30391,6,3
2020-07-13 10:46:16 PM,2020-07-13 10:46:41 PM,30391,25,-18
2020-07-13 10:48:05 PM,2020-07-13 10:48:26 PM,30391,21,47
2020-07-13 11:07:02 PM,2020-07-13 11:07:02 PM,30380,0,-87
2020-07-13 11:11:39 PM,2020-07-13 11:14:01 PM,30387,142,-60
2020-07-13 11:18:55 PM,2020-07-13 11:18:55 PM,30382,0,-78
2020-07-13 11:37:37 PM,2020-07-13 11:38:16 PM,30384,39,-49
2020-07-13 11:38:28 PM,2020-07-13 11:39:56 PM,30387,88,-58
2020-07-13 11:39:27 PM,2020-07-13 11:39:42 PM,30384,15,48
2020-07-13 11:39:56 PM,2020-07-13 11:39:56 PM,30388,0,-88
2020-07-13 11:41:25 PM,2020-07-13 11:44:54 PM,30384,209,-64
2020-07-13 11:46:42 PM,2020-07-13 11:46:54 PM,30385,12,45
2020-07-13 11:47:12 PM,2020-07-13 11:47:25 PM,30388,13,46
2020-07-13 11:48:29 PM,2020-07-13 11:48:29 PM,30388,0,-85
2020-07-13 11:41:05 PM,2020-07-13 11:49:54 PM,30387,529,-66
2020-07-13 11:51:19 PM,2020-07-13 11:52:43 PM,30384,84,-61
2020-07-13 11:47:09 PM,2020-07-13 11:54:58 PM,30391,469,-71
2020-07-13 11:51:12 PM,2020-07-13 11:54:58 PM,30387,226,-64
2020-07-13 11:53:33 PM,2020-07-13 11:54:09 PM,30385,36,-35
2020-07-13 11:54:23 PM,2020-07-13 11:54:41 PM,30384,18,-26
2020-07-13 11:56:14 PM,2020-07-13 11:56:47 PM,30385,33,-17
2020-07-13 11:56:58 PM,2020-07-13 11:57:22 PM,30384,24,-29
2020-07-13 11:59:03 PM,2020-07-13 11:59:27 PM,30384,24,-48
2020-07-13 11:56:12 PM,2020-07-13 11:59:57 PM,30387,225,-63
2020-07-14 12:02:28 AM,2020-07-14 12:03:36 AM,30390,68,-29
2020-07-14 12:02:29 AM,2020-07-14 12:03:44 AM,30385,75,-33
2020-07-14 12:03:12 AM,2020-07-14 12:03:54 AM,30384,42,-24
2020-07-14 12:01:12 AM,2020-07-14 12:04:55 AM,30387,223,-64
2020-07-14 12:04:56 AM,2020-07-14 12:05:39 AM,30384,43,45
2020-07-14 12:06:56 AM,2020-07-14 12:06:56 AM,30385,0,-81
2020-07-14 12:08:01 AM,2020-07-14 12:08:07 AM,30384,6,44
2020-07-14 12:09:08 AM,2020-07-14 12:12:36 AM,30384,208,-65
2020-07-13 11:56:13 PM,2020-07-14 12:14:25 AM,30391,1092,-73
2020-07-14 12:05:57 AM,2020-07-14 12:14:17 AM,30387,500,-66
2020-07-14 12:13:28 AM,2020-07-14 12:14:26 AM,30386,58,1
2020-07-14 12:14:45 AM,2020-07-14 12:14:51 AM,30385,6,45
2020-07-14 12:15:54 AM,2020-07-14 12:16:06 AM,30386,12,8
2020-07-14 12:16:32 AM,2020-07-14 12:17:35 AM,30380,63,-53
2020-07-14 12:17:15 AM,2020-07-14 12:17:15 AM,30386,0,-83
2020-07-14 12:29:49 AM,2020-07-14 12:29:49 AM,30380,0,-87
2020-07-14 12:33:34 AM,2020-07-14 12:33:58 AM,30381,24,-19
2020-07-14 12:34:00 AM,2020-07-14 12:34:36 AM,30391,36,47
2020-07-14 12:40:58 AM,2020-07-14 12:41:55 AM,30391,57,-40
2020-07-14 12:42:52 AM,2020-07-14 12:44:17 AM,30382,85,-56
2020-07-14 12:45:58 AM,2020-07-14 12:47:23 AM,30382,85,-62
2020-07-14 12:46:28 AM,2020-07-14 12:47:23 AM,30384,55,-20
2020-07-14 12:49:00 AM,2020-07-14 12:49:58 AM,30380,58,45
2020-07-14 12:52:26 AM,2020-07-14 12:52:26 AM,30380,0,-84
2020-07-14 12:49:02 AM,2020-07-14 12:53:26 AM,30382,264,-69
2020-07-14 12:49:02 AM,2020-07-14 12:53:19 AM,30381,257,-75
2020-07-14 12:53:39 AM,2020-07-14 12:54:09 AM,30380,30,-46
2020-07-14 12:59:10 AM,2020-07-14 12:59:37 AM,30380,27,2
2020-07-14 12:54:26 AM,2020-07-14 1:01:42 AM,30382,436,-74
2020-07-14 1:02:23 AM,2020-07-14 1:02:29 AM,30380,6,44
2020-07-14 12:54:37 AM,2020-07-14 1:02:34 AM,30381,477,-66
2020-07-14 1:04:05 AM,2020-07-14 1:04:05 AM,30381,0,-85
2020-07-14 1:04:03 AM,2020-07-14 1:04:52 AM,30380,49,1
2020-07-14 1:02:42 AM,2020-07-14 1:05:58 AM,30382,196,-67
2020-07-14 1:07:10 AM,2020-07-14 1:07:31 AM,30382,21,-14
2020-07-14 1:09:16 AM,2020-07-14 1:09:28 AM,30382,12,3
2020-07-14 1:07:20 AM,2020-07-14 1:09:57 AM,30380,157,-69
2020-07-14 1:12:20 AM,2020-07-14 1:13:23 AM,30380,63,-31
2020-07-14 1:12:05 AM,2020-07-14 1:13:39 AM,30389,94,-40
2020-07-14 1:10:55 AM,2020-07-14 1:15:07 AM,30382,252,-64
2020-07-14 1:22:20 AM,2020-07-14 1:22:20 AM,30380,0,-83
2020-07-14 1:23:28 AM,2020-07-14 1:24:57 AM,30380,89,-66
2020-07-14 1:25:52 AM,2020-07-14 1:25:52 AM,30389,0,-81
2020-07-14 1:27:20 AM,2020-07-14 1:27:20 AM,30380,0,-81
2020-07-14 1:09:47 AM,2020-07-14 1:27:50 AM,30388,1083,-77
2020-07-14 1:16:10 AM,2020-07-14 1:27:35 AM,30382,685,-78
2020-07-14 1:27:56 AM,2020-07-14 1:28:29 AM,30384,33,2
2020-07-14 1:29:44 AM,2020-07-14 1:30:13 AM,30389,29,52
2020-07-14 1:29:11 AM,2020-07-14 1:31:10 AM,30388,119,-64
2020-07-14 1:32:13 AM,2020-07-14 1:32:30 AM,30388,17,45
2020-07-14 1:31:41 AM,2020-07-14 1:32:35 AM,30385,54,-33
2020-07-14 1:32:03 AM,2020-07-14 1:32:39 AM,30389,36,4
2020-07-14 1:33:09 AM,2020-07-14 1:34:55 AM,30380,106,-46
2020-07-14 1:34:26 AM,2020-07-14 1:34:56 AM,30385,30,-19
2020-07-14 1:34:32 AM,2020-07-14 1:34:47 AM,30388,15,4
2020-07-14 1:37:22 AM,2020-07-14 1:39:11 AM,30388,109,-68
2020-07-14 1:37:23 AM,2020-07-14 1:39:57 AM,30380,154,-61
2020-07-14 1:37:23 AM,2020-07-14 1:40:53 AM,30382,210,-71
2020-07-14 1:40:15 AM,2020-07-14 1:40:43 AM,30389,28,55
2020-07-14 1:41:35 AM,2020-07-14 1:41:35 AM,30388,0,-83
2020-07-14 1:42:20 AM,2020-07-14 1:44:55 AM,30380,155,-70
2020-07-14 1:47:20 AM,2020-07-14 1:49:03 AM,30380,103,-61
2020-07-14 2:11:37 AM,2020-07-14 2:11:49 AM,30382,12,43
2020-07-14 2:20:16 AM,2020-07-14 2:22:30 AM,30381,134,-69
2020-07-14 2:29:39 AM,2020-07-14 2:29:45 AM,30388,6,3
2020-07-14 2:27:02 AM,2020-07-14 2:34:39 AM,30381,457,-79
2020-07-14 2:35:40 AM,2020-07-14 2:36:16 AM,30388,36,-54
2020-07-14 2:35:42 AM,2020-07-14 2:38:01 AM,30386,139,-63
2020-07-14 2:38:04 AM,2020-07-14 2:38:04 AM,30387,0,-87
2020-07-14 2:36:47 AM,2020-07-14 2:38:27 AM,30384,100,-60
